base_k_bits,bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,projection_dim,qjl_seed,residual_bits,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
3,K3,pure Hadamard-LM key reconstruction,0.9154727458953857,0.00661074835807085,22.930423736572266,3,0.03084670752286911,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.6.self_attn,6,hadamard_lm_k3,hadamard_lm_k3,0.9901281595230103,0.0196967963129282,64,6,0,0.37138301134109497,0.00661074835807085,0.1535240113735199,0.7131592035293579,4,0.008990591391921043,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,3.8096508979797363,0.024607669562101364,73.96182250976562,2,0.10423606634140015,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.6.self_attn,6,hadamard_lm_k2,hadamard_lm_k2,0.9504358172416687,0.10175300389528275,64,6,0,1.3824260234832764,0.024607669562101364,0.44418251514434814,0.5724853277206421,4,0.008990591391921043,per_token_head_rms
2,K2+QJL,Hadamard-LM key plus QJL residual correction,0.7462493181228638,0.02988407202064991,106.88933563232422,2,0.10423606634140015,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.6.self_attn,6,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.9613669514656067,0.07998549193143845,64,6,1,1.678847312927246,0.02988407202064991,0.6337288022041321,0.524365246295929,4,0.008990591391921043,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,0.023924395442008972,0.009039733558893204,32.501197814941406,3,0.03084670752286911,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.6.self_attn,6,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.9820939898490906,0.03685295581817627,64,6,1,0.5078401565551758,0.009039733558893204,0.2289097011089325,0.686450183391571,4,0.008990591391921043,per_token_head_rms
3,K3,pure Hadamard-LM key reconstruction,0.7298303842544556,0.011792212724685669,23.97638511657715,3,0.030995836481451988,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.7.self_attn,7,hadamard_lm_k3,hadamard_lm_k3,0.992340624332428,0.015285879373550415,64,7,0,0.3829537034034729,0.011792212724685669,0.1707136332988739,0.608325183391571,4,0.009156397543847561,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,4.277006149291992,0.0394318588078022,63.6627311706543,2,0.10231012850999832,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.7.self_attn,7,hadamard_lm_k2,hadamard_lm_k2,0.9725868105888367,0.054811201989650726,64,7,0,1.280555009841919,0.0394318588078022,0.4416634440422058,0.44794923067092896,4,0.009156397543847561,per_token_head_rms
2,K2+QJL,Hadamard-LM key plus QJL residual correction,0.12035292387008667,0.06093030422925949,126.62358856201172,2,0.10231012850999832,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.7.self_attn,7,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.9571046233177185,0.09033747017383575,64,7,1,1.97871994972229,0.06093030422925949,0.8020278811454773,0.3989013731479645,4,0.009156397543847561,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,-0.06541270762681961,0.018648268654942513,38.75444412231445,3,0.030995836481451988,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.7.self_attn,7,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.982535183429718,0.03478994965553284,64,7,1,0.6056050658226013,0.018648268654942513,0.28685733675956726,0.5732177495956421,4,0.009156397543847561,per_token_head_rms
3,K3,pure Hadamard-LM key reconstruction,1.1997910737991333,0.005952714942395687,31.882503509521484,3,0.030992159619927406,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.8.self_attn,8,hadamard_lm_k3,hadamard_lm_k3,0.9863367676734924,0.03088701330125332,64,8,0,0.5206562876701355,0.005952714942395687,0.09045910835266113,0.71240234375,4,0.008918622508645058,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,6.287495136260986,0.027174273505806923,112.58305358886719,2,0.10569337010383606,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.8.self_attn,8,hadamard_lm_k2,hadamard_lm_k2,0.9488291144371033,0.1760294884443283,64,8,0,2.37680721282959,0.027174273505806923,0.3404906988143921,0.5523926019668579,4,0.008918622508645058,per_token_head_rms
2,K2+QJL,Hadamard-LM key plus QJL residual correction,-1.0740500688552856,0.02782255969941616,154.59104919433594,2,0.10569337010383606,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.8.self_attn,8,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.938358724117279,0.1986548751592636,64,8,1,2.4335098266601562,0.02782255969941616,0.47832801938056946,0.5135253667831421,4,0.008918622508645058,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,0.07149289548397064,0.009025383740663528,50.51702117919922,3,0.030992159619927406,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.8.self_attn,8,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.9694170951843262,0.08461876213550568,64,8,1,0.7894083261489868,0.009025383740663528,0.18224719166755676,0.649731457233429,4,0.008918622508645058,per_token_head_rms
3,K3,pure Hadamard-LM key reconstruction,1.1646289825439453,0.008875024504959583,33.753700256347656,3,0.0309543926268816,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.9.self_attn,9,hadamard_lm_k3,hadamard_lm_k3,0.984831690788269,0.03373204544186592,64,9,0,0.5485947132110596,0.008875024504959583,0.14969715476036072,0.7024170160293579,4,0.008952801115810871,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,5.418448448181152,0.033145785331726074,101.76687622070312,2,0.10276713967323303,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.9.self_attn,9,hadamard_lm_k2,hadamard_lm_k2,0.9555497765541077,0.12902416288852692,64,9,0,2.0488510131835938,0.033145785331726074,0.5129650831222534,0.5303955078125,4,0.008952801115810871,per_token_head_rms
2,K2+QJL,Hadamard-LM key plus QJL residual correction,1.3371713161468506,0.037073053419589996,144.87489318847656,2,0.10276713967323303,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.9.self_attn,9,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.9337141513824463,0.22032693028450012,64,9,1,2.2916083335876465,0.037073053419589996,0.722933292388916,0.531494140625,4,0.008952801115810871,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,0.4151856005191803,0.011544582433998585,45.49858856201172,3,0.0309543926268816,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.9.self_attn,9,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.9780168533325195,0.05699643865227699,64,9,1,0.7136089205741882,0.011544582433998585,0.21363574266433716,0.6590576171875,4,0.008952801115810871,per_token_head_rms
