layer_index,method_key,projection_relative_mse,score_relative_mse,softmax_kl,topk_overlap,layer_output_relative_mse,layer_output_cosine
17,attn_rot_lm_w3a4_hlm_k3v4,0.044605127380539976,0.019094673916697502,0.1904287040233612,0.623364269733429,0.33293551206588745,0.8388974666595459
17,attn_rot_lm_w4a3_hlm_k4v3,0.0462911732805272,0.006274010054767132,0.07395514845848083,0.7788330316543579,0.26935502886772156,0.8638745546340942
17,attn_rot_lm_w4a4_hlm_k4v4,0.021060076386978228,0.005270074121654034,0.05271057039499283,0.7806396484375,0.1383449137210846,0.9315216541290283
17,fp16,0.0,0.0,0.0,1.0,0.0,1.0
18,attn_direct_absmax_w4a4_absmax_k4v4,0.3648653005560239,0.10971198230981827,1.1182641983032227,0.45063477754592896,1.3752586841583252,0.06196872517466545
18,attn_rot_absmax_w4a4_hlm_k4v4,0.12180695279190938,0.025340449064970016,0.19409337639808655,0.679882824420929,1.5033445358276367,0.6484719514846802
18,attn_rot_lm_w3a4_hlm_k3v4,0.04019041204204162,0.019358891993761063,0.17255809903144836,0.6204833984375,0.31615304946899414,0.8471224308013916
18,attn_rot_lm_w4a3_hlm_k4v3,0.03881911436716715,0.00957765243947506,0.10213174670934677,0.723095715045929,0.23658782243728638,0.8787201642990112
18,attn_rot_lm_w4a4_hlm_k4v4,0.017320050004248817,0.006817614194005728,0.07393573969602585,0.735034167766571,0.13307391107082367,0.9339243173599243
18,fp16,0.0,0.0,0.0,1.0,0.0,1.0
19,attn_direct_absmax_w4a4_absmax_k4v4,0.405903123319149,0.1099940687417984,1.3485667705535889,0.4732666015625,1.568150281906128,0.08888596296310425
19,attn_rot_absmax_w4a4_hlm_k4v4,0.1396997111539046,0.027185380458831787,0.2174404263496399,0.7061767578125,2.4085326194763184,0.47682642936706543
19,attn_rot_lm_w3a4_hlm_k3v4,0.05326800560578704,0.01695743389427662,0.28552812337875366,0.640551745891571,0.40006160736083984,0.8263752460479736
19,attn_rot_lm_w4a3_hlm_k4v3,0.048195567447692156,0.007950800471007824,0.1489136666059494,0.7457275390625,0.27173635363578796,0.8639465570449829
19,attn_rot_lm_w4a4_hlm_k4v4,0.021026921031686168,0.004781520925462246,0.0916743129491806,0.77587890625,0.13426843285560608,0.932605504989624
19,fp16,0.0,0.0,0.0,1.0,0.0,1.0
20,attn_direct_absmax_w4a4_absmax_k4v4,0.39289678384860355,0.05194643512368202,1.5307477712631226,0.4718994200229645,1.0369442701339722,0.3009391725063324
20,attn_rot_absmax_w4a4_hlm_k4v4,0.13373601343482733,0.010010289959609509,0.28349775075912476,0.734057605266571,1.0237544775009155,0.6969549655914307
20,attn_rot_lm_w3a4_hlm_k3v4,0.05586070287972689,0.016839994117617607,0.5123704075813293,0.6346679925918579,0.2362004816532135,0.8829727172851562
20,attn_rot_lm_w4a3_hlm_k4v3,0.05311399193791052,0.00603398447856307,0.1649267077445984,0.7885497808456421,0.1748536378145218,0.9089930057525635
20,attn_rot_lm_w4a4_hlm_k4v4,0.024440865808477003,0.004192954394966364,0.1413181871175766,0.8099365234375,0.09603646397590637,0.9511720538139343
20,fp16,0.0,0.0,0.0,1.0,0.0,1.0
21,attn_direct_absmax_w4a4_absmax_k4v4,0.37879470487435657,0.17655302584171295,1.337304949760437,0.4439453184604645,0.7890766859054565,0.5905750393867493
21,attn_rot_absmax_w4a4_hlm_k4v4,0.08624893706291914,0.013880006968975067,0.2850823998451233,0.746508777141571,0.6659942865371704,0.774483859539032
21,attn_rot_lm_w3a4_hlm_k3v4,0.03773001038158933,0.016059068962931633,0.5254387259483337,0.644726574420929,0.14494621753692627,0.9247012734413147
21,attn_rot_lm_w4a3_hlm_k4v3,0.036144773553436,0.007024683523923159,0.1945473998785019,0.769335925579071,0.0908656120300293,0.9550020098686218
21,attn_rot_lm_w4a4_hlm_k4v4,0.01602158648893237,0.004352418705821037,0.15887199342250824,0.788281261920929,0.04762733727693558,0.975967526435852
21,fp16,0.0,0.0,0.0,1.0,0.0,1.0
