a_bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_method,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,method,method_key,output_cosine,output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,qjl_method,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_relative_mse,w_bits
4,rotated uniform W/A fake quant plus rotated KV fake quant,12.101435661315918,0.09290951490402222,187.6053466796875,4,0.015481948852539062,0.024001702666282654,K4V4,hadamard_lm,model.layers.6.self_attn,6,0.5358666181564331,1.3825205564498901,W4A4,rot_absmax,attn_rot_absmax_w4a4_hlm_k4v4,attn_rot_absmax_w4a4_hlm_k4v4,0.9156739115715027,0.1864304393529892,0.9644701679547628,0.07920673675835133,0.023091530427336693,,5.219532489776611,0.09290951490402222,0.10452218353748322,0.7593749761581421,4,0.19904673099517822,0.20740105211734772,4
4,rotated non-uniform W/A and KV fake quant,1.952239751815796,0.003331628628075123,8.167412757873535,4,0.0019608126021921635,0.010589595884084702,K4V4,hadamard_lm,model.layers.6.self_attn,6,0.9552903175354004,0.08747009932994843,W4A4,rot_lm,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,0.9760637879371643,0.04756677523255348,0.9921010335286459,0.015995856452112395,0.0023455151822417974,,0.18716645240783691,0.003331628628075123,0.04438035562634468,0.8438476324081421,4,0.04368124157190323,0.05228910967707634,4
4,weight and key bit reduction in fake quant,4.0738067626953125,0.011697040870785713,25.46004295349121,3,0.005191808100789785,0.03543400019407272,K3V4,hadamard_lm,model.layers.6.self_attn,6,0.9022589921951294,0.1914757937192917,W3A4,rot_lm,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,0.9448884129524231,0.11161021888256073,0.984417458375295,0.032100724832465254,0.00617420207709074,,0.6571241617202759,0.011697040870785713,0.1438397765159607,0.7212158441543579,4,0.08493616431951523,0.0929998978972435,3
3,activation and value bit reduction in fake quant,3.444847583770752,0.006428868044167757,11.247601509094238,4,0.004783984273672104,0.01333661936223507,K4V3,hadamard_lm,model.layers.6.self_attn,6,0.9221612215042114,0.15104296803474426,W4A3,rot_lm,attn_rot_lm_w4a3_hlm_k4v3,attn_rot_lm_w4a3_hlm_k4v3,0.9693232774734497,0.06053511053323746,0.9834344585736593,0.03392091393470764,0.005538713186979294,,0.36116522550582886,0.006428868044167757,0.05112972855567932,0.824877917766571,3,0.09144004434347153,0.12142729014158249,4
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,model.layers.7.self_attn,7,1.0,0.0,FP16,fp16,fp16,fp16,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,16,0.0,0.0,16
4,direct W/A fake quant plus uniform KV fake quant,10.831928253173828,0.15549787878990173,205.85743713378906,4,0.09883159399032593,0.14067700505256653,K4V4,absmax,model.layers.7.self_attn,7,0.11670385301113129,1.6006520986557007,W4A4,direct_absmax,attn_direct_absmax_w4a4_absmax_k4v4,attn_direct_absmax_w4a4_absmax_k4v4,0.3125597834587097,1.0898882150650024,0.7258458137512207,0.4896222601334254,0.1578836590051651,,5.049814701080322,0.15549787878990173,0.47535112500190735,0.3625732362270355,4,1.2121515274047852,1.2200400829315186,4
4,rotated uniform W/A fake quant plus rotated KV fake quant,3.9099442958831787,0.07261474430561066,135.6354522705078,4,0.015916163101792336,0.024332856759428978,K4V4,hadamard_lm,model.layers.7.self_attn,7,0.5884807109832764,1.4723197221755981,W4A4,rot_absmax,attn_rot_absmax_w4a4_hlm_k4v4,attn_rot_absmax_w4a4_hlm_k4v4,0.818017303943634,0.4334263205528259,0.9392030239105225,0.14434105716645718,0.04902946203947067,,2.3581736087799072,0.07261474430561066,0.13360974192619324,0.6527099609375,4,0.3680775463581085,0.37343552708625793,4
4,rotated non-uniform W/A and KV fake quant,1.1857517957687378,0.004797718022018671,8.565610885620117,4,0.002134039532393217,0.01075513195246458,K4V4,hadamard_lm,model.layers.7.self_attn,7,0.9527077674865723,0.09563672542572021,W4A4,rot_lm,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,0.9684897065162659,0.06571390479803085,0.989120602607727,0.022484073182567954,0.0021262073423713446,,0.1558065414428711,0.004797718022018671,0.04926294833421707,0.7743164300918579,4,0.0631919726729393,0.07196212559938431,4
4,weight and key bit reduction in fake quant,3.188253879547119,0.017303239554166794,25.798240661621094,3,0.005232795141637325,0.03524210304021835,K3V4,hadamard_lm,model.layers.7.self_attn,7,0.8534252643585205,0.30218860507011414,W3A4,rot_lm,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,0.8882288336753845,0.2391447126865387,0.9740945100784302,0.05418145237490535,0.005953762214630842,,0.5619250535964966,0.017303239554166794,0.1608514040708542,0.6181885004043579,4,0.15135779976844788,0.1598629653453827,3
3,activation and value bit reduction in fake quant,2.0918376445770264,0.007502581924200058,11.217647552490234,4,0.004982815124094486,0.013515844941139221,K4V3,hadamard_lm,model.layers.7.self_attn,7,0.9186981320381165,0.15633141994476318,W4A3,rot_lm,attn_rot_lm_w4a3_hlm_k4v3,attn_rot_lm_w4a3_hlm_k4v3,0.9631317853927612,0.07299241423606873,0.9762860536575317,0.05000430873284737,0.005145996809005737,,0.24364736676216125,0.007502581924200058,0.057499390095472336,0.7554687261581421,3,0.1398841142654419,0.16829833388328552,4
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,model.layers.8.self_attn,8,1.0,0.0,FP16,fp16,fp16,fp16,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,16,0.0,0.0,16
4,direct W/A fake quant plus uniform KV fake quant,23.28754997253418,0.14398330450057983,263.6772155761719,4,0.10108984261751175,0.1312987357378006,K4V4,absmax,model.layers.8.self_attn,8,-0.05144224688410759,1.4932692050933838,W4A4,direct_absmax,attn_direct_absmax_w4a4_absmax_k4v4,attn_direct_absmax_w4a4_absmax_k4v4,0.32576674222946167,1.2292371988296509,0.7986069122950236,0.35672032584746677,0.179629847407341,,12.593549728393555,0.14398330450057983,0.6120445728302002,0.3985351622104645,4,0.7894412875175476,0.8087315559387207,4
4,rotated uniform W/A fake quant plus rotated KV fake quant,13.12306022644043,0.05355067923665047,127.55033874511719,4,0.01705848053097725,0.025734376162290573,K4V4,hadamard_lm,model.layers.8.self_attn,8,0.5544916391372681,1.9073342084884644,W4A4,rot_absmax,attn_rot_absmax_w4a4_hlm_k4v4,attn_rot_absmax_w4a4_hlm_k4v4,0.8315536975860596,0.517749547958374,0.9502014319101969,0.11279317612449329,0.06253368407487869,,4.683828830718994,0.05355067923665047,0.21454459428787231,0.6851806640625,4,0.2587873637676239,0.2655104696750641,4
4,rotated non-uniform W/A and KV fake quant,1.9468368291854858,0.002800660440698266,11.887313842773438,4,0.002453471999615431,0.01093138288706541,K4V4,hadamard_lm,model.layers.8.self_attn,8,0.9536516666412354,0.09257042407989502,W4A4,rot_lm,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,0.9773828387260437,0.04842795431613922,0.9920033613840739,0.01621015090495348,0.0031074616126716137,,0.2449607402086258,0.002800660440698266,0.031150076538324356,0.8253173828125,4,0.043069519102573395,0.05188191309571266,4
4,weight and key bit reduction in fake quant,6.68310546875,0.015266284346580505,40.79343032836914,3,0.006458978168666363,0.0367121621966362,K3V4,hadamard_lm,model.layers.8.self_attn,8,0.8788337111473083,0.2615513205528259,W3A4,rot_lm,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,0.9345274567604065,0.16858623921871185,0.9825603564580282,0.036200240875283875,0.008016853593289852,,1.335270881652832,0.015266284346580505,0.11961245536804199,0.680737316608429,4,0.09412489086389542,0.1018190011382103,3
3,activation and value bit reduction in fake quant,3.6821866035461426,0.005455876234918833,16.982309341430664,4,0.005570691078901291,0.013925865292549133,K4V3,hadamard_lm,model.layers.8.self_attn,8,0.9088449478149414,0.1762702316045761,W4A3,rot_lm,attn_rot_lm_w4a3_hlm_k4v3,attn_rot_lm_w4a3_hlm_k4v3,0.9665928483009338,0.0716230720281601,0.9825055797894796,0.036008283806343876,0.007157345302402973,,0.47720012068748474,0.005455876234918833,0.04475761950016022,0.803271472454071,3,0.09529681503772736,0.12545661628246307,4
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,model.layers.9.self_attn,9,1.0,0.0,FP16,fp16,fp16,fp16,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,16,0.0,0.0,16
4,direct W/A fake quant plus uniform KV fake quant,20.225303649902344,0.14256063103675842,154.9144744873047,4,0.06215805187821388,0.09922545403242111,K4V4,absmax,model.layers.9.self_attn,9,0.2782418131828308,1.786761999130249,W4A4,direct_absmax,attn_direct_absmax_w4a4_absmax_k4v4,attn_direct_absmax_w4a4_absmax_k4v4,0.5584712624549866,0.77989262342453,0.8130304416020712,0.33826817696293193,0.11171393096446991,,8.812145233154297,0.14256063103675842,0.5696499347686768,0.546704113483429,4,0.8409325480461121,0.850479006767273,4
4,rotated uniform W/A fake quant plus rotated KV fake quant,8.776344299316406,0.03447863832116127,59.375083923339844,4,0.012147867120802402,0.020997576415538788,K4V4,hadamard_lm,model.layers.9.self_attn,9,0.6928409337997437,1.2234456539154053,W4A4,rot_absmax,attn_rot_absmax_w4a4_hlm_k4v4,attn_rot_absmax_w4a4_hlm_k4v4,0.8812907338142395,0.35852083563804626,0.9628880818684896,0.08249099397410949,0.022462250664830208,,2.1312389373779297,0.03447863832116127,0.18999707698822021,0.7533203363418579,4,0.21286286413669586,0.2212935984134674,4
4,rotated non-uniform W/A and KV fake quant,1.8699547052383423,0.0036309785209596157,10.867609977722168,4,0.0016814394621178508,0.010362720116972923,K4V4,hadamard_lm,model.layers.9.self_attn,9,0.9531582593917847,0.09784279763698578,W4A4,rot_lm,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,0.9752581119537354,0.05461045727133751,0.9921372532844543,0.016125728958286345,0.0024583199992775917,,0.22444282472133636,0.0036309785209596157,0.044227614998817444,0.8254150152206421,4,0.04423742741346359,0.05335626006126404,4
4,weight and key bit reduction in fake quant,4.549583435058594,0.014176196418702602,35.38306427001953,3,0.004929542541503906,0.035069115459918976,K3V4,hadamard_lm,model.layers.9.self_attn,9,0.8778141736984253,0.2690693438053131,W3A4,rot_lm,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,0.9219139814376831,0.18856042623519897,0.981282651424408,0.03878133790567517,0.006785491015762091,,0.8762776851654053,0.014176196418702602,0.15599317848682404,0.691723644733429,4,0.10462898015975952,0.11328406631946564,3
3,activation and value bit reduction in fake quant,3.227735757827759,0.006129350513219833,13.829753875732422,4,0.004012608900666237,0.012583781033754349,K4V3,hadamard_lm,model.layers.9.self_attn,9,0.911361038684845,0.1749536097049713,W4A3,rot_lm,attn_rot_lm_w4a3_hlm_k4v3,attn_rot_lm_w4a3_hlm_k4v3,0.9638522267341614,0.0774412453174591,0.982848604520162,0.03554756287485361,0.0057859281077980995,,0.3788754940032959,0.006129350513219833,0.05581480637192726,0.8094482421875,3,0.0968441516160965,0.12616871297359467,4
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,model.layers.10.self_attn,10,1.0,0.0,FP16,fp16,fp16,fp16,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,16,0.0,0.0,16
