bits,block_size,codebook,cosine,element_format,int_gemm_friendly,layer,levels,method,mxfp4_group_size,qmax,quantizer_type,relative_mse,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,sqnr_db,weight_finite_ratio,weight_inf_count,weight_kurtosis,weight_max_mean_ratio,weight_mean,weight_nan_count,weight_numel,weight_outlier_ratio_3sigma,weight_std
4,128,,0.9923200011253357,,Yes,model.layers.0.self_attn.v_proj,,direct_absmax,,7,uniform integer-like,0.015528548508882523,none,none,,4096,,flat_block_absmax,18.08869171142578,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
3,128,,0.9614758491516113,,Yes,model.layers.0.self_attn.v_proj,,direct_absmax,,3,uniform integer-like,0.0815381333231926,none,none,,4096,,flat_block_absmax,10.886392593383789,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
2,128,,0.7384563088417053,,Yes,model.layers.0.self_attn.v_proj,,direct_absmax,,1,uniform integer-like,0.5851289629936218,none,none,,4096,,flat_block_absmax,2.327484130859375,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
4,128,,0.9927647709846497,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.self_attn.v_proj,,mxfp4,32,,mxfp4_e2m1_fake_quant,0.014437307603657246,none,none,,16384,E8M0_like_power2,group_power2,18.40513801574707,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
4,128,,0.9932835102081299,,Yes-ish; needs rotation handling,model.layers.0.self_attn.v_proj,,hadamard_absmax,,7,uniform integer-like,0.013578674755990505,polar_hadamard_blockwise,hadamard,11,4096,,last_dim_block_absmax,18.671424865722656,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
3,128,,0.9650223255157471,,Yes-ish; needs rotation handling,model.layers.0.self_attn.v_proj,,hadamard_absmax,,3,uniform integer-like,0.07405199110507965,polar_hadamard_blockwise,hadamard,11,4096,,last_dim_block_absmax,11.304632186889648,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
2,128,,0.7454361915588379,,Yes-ish; needs rotation handling,model.layers.0.self_attn.v_proj,,hadamard_absmax,,1,uniform integer-like,0.5836509466171265,polar_hadamard_blockwise,hadamard,11,4096,,last_dim_block_absmax,2.338468313217163,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
4,128,gaussian_lloyd_max_standard_normal,0.9953392148017883,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.v_proj,16,hadamard_lm,,,non-uniform codebook,0.00929972529411316,polar_hadamard_blockwise,hadamard,11,,,,20.31529998779297,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
3,128,gaussian_lloyd_max_standard_normal,0.9830266833305359,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.v_proj,8,hadamard_lm,,,non-uniform codebook,0.03365893289446831,polar_hadamard_blockwise,hadamard,11,,,,14.728996276855469,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
2,128,gaussian_lloyd_max_standard_normal,0.940758466720581,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.v_proj,4,hadamard_lm,,,non-uniform codebook,0.11496972292661667,polar_hadamard_blockwise,hadamard,11,,,,9.3941650390625,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
