bits,block_size,codebook,cosine,int_gemm_friendly,layer,levels,method,mxfp4_group_size,qmax,quantizer_type,relative_mse,rotation,rotation_backend,rotation_seed,scale_count,scale_granularity,sqnr_db,weight_finite_ratio,weight_inf_count,weight_kurtosis,weight_max_mean_ratio,weight_mean,weight_nan_count,weight_numel,weight_outlier_ratio_3sigma,weight_std
3,128,gaussian_lloyd_max_standard_normal,0.9829750657081604,No; needs LUT/dequant or codebook-aware MAC,model.layers.28.self_attn.v_proj,8,hadamard_lm,,,non-uniform codebook,0.033887892961502075,polar_hadamard_blockwise,hadamard,0,,,14.699554443359375,1.0,0,3.530892848968506,14.00910472869873,6.4969290178851224e-06,0,4194304,0.005076885223388672,0.013811575248837471
2,128,gaussian_lloyd_max_standard_normal,0.9403792023658752,No; needs LUT/dequant or codebook-aware MAC,model.layers.28.self_attn.v_proj,4,hadamard_lm,,,non-uniform codebook,0.11580228805541992,polar_hadamard_blockwise,hadamard,0,,,9.362828254699707,1.0,0,3.530892848968506,14.00910472869873,6.4969290178851224e-06,0,4194304,0.005076885223388672,0.013811575248837471
4,128,,0.9936038851737976,Yes,model.layers.28.self_attn.o_proj,,direct_absmax,,7,uniform integer-like,0.013949117623269558,none,none,,131072,flat_block_absmax,18.554533004760742,1.0,0,6.208068370819092,62.24800491333008,6.339049605230684e-07,0,16777216,0.0043964385986328125,0.011591228656470776
3,128,,0.964614748954773,Yes,model.layers.28.self_attn.o_proj,,direct_absmax,,3,uniform integer-like,0.07584132254123688,none,none,,131072,flat_block_absmax,11.20094108581543,1.0,0,6.208068370819092,62.24800491333008,6.339049605230684e-07,0,16777216,0.0043964385986328125,0.011591228656470776
2,128,,0.7393660545349121,Yes,model.layers.28.self_attn.o_proj,,direct_absmax,,1,uniform integer-like,0.5884526371955872,none,none,,131072,flat_block_absmax,2.302885055541992,1.0,0,6.208068370819092,62.24800491333008,6.339049605230684e-07,0,16777216,0.0043964385986328125,0.011591228656470776
4,128,,0.9946086406707764,Yes-ish; needs rotation handling,model.layers.28.self_attn.o_proj,,hadamard_absmax,,7,uniform integer-like,0.013729234226047993,polar_hadamard_blockwise,hadamard,0,131072,last_dim_block_absmax,18.623537063598633,1.0,0,6.208068370819092,62.24800491333008,6.339049605230684e-07,0,16777216,0.0043964385986328125,0.011591228656470776
3,128,,0.9660771489143372,Yes-ish; needs rotation handling,model.layers.28.self_attn.o_proj,,hadamard_absmax,,3,uniform integer-like,0.0747671127319336,polar_hadamard_blockwise,hadamard,0,131072,last_dim_block_absmax,11.262893676757812,1.0,0,6.208068370819092,62.24800491333008,6.339049605230684e-07,0,16777216,0.0043964385986328125,0.011591228656470776
2,128,,0.7431301474571228,Yes-ish; needs rotation handling,model.layers.28.self_attn.o_proj,,hadamard_absmax,,1,uniform integer-like,0.5871753096580505,polar_hadamard_blockwise,hadamard,0,131072,last_dim_block_absmax,2.3123223781585693,1.0,0,6.208068370819092,62.24800491333008,6.339049605230684e-07,0,16777216,0.0043964385986328125,0.011591228656470776
4,128,gaussian_lloyd_max_standard_normal,0.9967219829559326,No; needs LUT/dequant or codebook-aware MAC,model.layers.28.self_attn.o_proj,16,hadamard_lm,,,non-uniform codebook,0.009320288896560669,polar_hadamard_blockwise,hadamard,0,,,20.305707931518555,1.0,0,6.208068370819092,62.24800491333008,6.339049605230684e-07,0,16777216,0.0043964385986328125,0.011591228656470776
3,128,gaussian_lloyd_max_standard_normal,0.9842305779457092,No; needs LUT/dequant or codebook-aware MAC,model.layers.28.self_attn.o_proj,8,hadamard_lm,,,non-uniform codebook,0.033969491720199585,polar_hadamard_blockwise,hadamard,0,,,14.689109802246094,1.0,0,6.208068370819092,62.24800491333008,6.339049605230684e-07,0,16777216,0.0043964385986328125,0.011591228656470776
2,128,gaussian_lloyd_max_standard_normal,0.9414768815040588,No; needs LUT/dequant or codebook-aware MAC,model.layers.28.self_attn.o_proj,4,hadamard_lm,,,non-uniform codebook,0.1159721314907074,polar_hadamard_blockwise,hadamard,0,,,9.356463432312012,1.0,0,6.208068370819092,62.24800491333008,6.339049605230684e-07,0,16777216,0.0043964385986328125,0.011591228656470776
4,128,,1.0034242868423462,Yes,model.layers.28.mlp.gate_proj,,direct_absmax,,7,uniform integer-like,0.014378347434103489,none,none,,458752,flat_block_absmax,18.422910690307617,1.0,0,4.146780967712402,42.10639953613281,-1.4770403140573762e-05,0,58720256,0.006900600157678127,0.014600084163248539
3,128,,0.9696056842803955,Yes,model.layers.28.mlp.gate_proj,,direct_absmax,,3,uniform integer-like,0.07796584069728851,none,none,,458752,flat_block_absmax,11.08095645904541,1.0,0,4.146780967712402,42.10639953613281,-1.4770403140573762e-05,0,58720256,0.006900600157678127,0.014600084163248539
2,128,,0.7392491102218628,Yes,model.layers.28.mlp.gate_proj,,direct_absmax,,1,uniform integer-like,0.5917776823043823,none,none,,458752,flat_block_absmax,2.278414011001587,1.0,0,4.146780967712402,42.10639953613281,-1.4770403140573762e-05,0,58720256,0.006900600157678127,0.014600084163248539
4,128,,1.0037927627563477,Yes-ish; needs rotation handling,model.layers.28.mlp.gate_proj,,hadamard_absmax,,7,uniform integer-like,0.01374852191656828,polar_hadamard_blockwise,hadamard,0,458752,last_dim_block_absmax,18.617441177368164,1.0,0,4.146780967712402,42.10639953613281,-1.4770403140573762e-05,0,58720256,0.006900600157678127,0.014600084163248539
3,128,,0.9747425317764282,Yes-ish; needs rotation handling,model.layers.28.mlp.gate_proj,,hadamard_absmax,,3,uniform integer-like,0.07491181790828705,polar_hadamard_blockwise,hadamard,0,458752,last_dim_block_absmax,11.254496574401855,1.0,0,4.146780967712402,42.10639953613281,-1.4770403140573762e-05,0,58720256,0.006900600157678127,0.014600084163248539
2,128,,0.7491785883903503,Yes-ish; needs rotation handling,model.layers.28.mlp.gate_proj,,hadamard_absmax,,1,uniform integer-like,0.5877211689949036,polar_hadamard_blockwise,hadamard,0,458752,last_dim_block_absmax,2.3082869052886963,1.0,0,4.146780967712402,42.10639953613281,-1.4770403140573762e-05,0,58720256,0.006900600157678127,0.014600084163248539
4,128,gaussian_lloyd_max_standard_normal,1.0060036182403564,No; needs LUT/dequant or codebook-aware MAC,model.layers.28.mlp.gate_proj,16,hadamard_lm,,,non-uniform codebook,0.009331737644970417,polar_hadamard_blockwise,hadamard,0,,,20.300373077392578,1.0,0,4.146780967712402,42.10639953613281,-1.4770403140573762e-05,0,58720256,0.006900600157678127,0.014600084163248539
3,128,gaussian_lloyd_max_standard_normal,0.9934543371200562,No; needs LUT/dequant or codebook-aware MAC,model.layers.28.mlp.gate_proj,8,hadamard_lm,,,non-uniform codebook,0.033972401171922684,polar_hadamard_blockwise,hadamard,0,,,14.688737869262695,1.0,0,4.146780967712402,42.10639953613281,-1.4770403140573762e-05,0,58720256,0.006900600157678127,0.014600084163248539
2,128,gaussian_lloyd_max_standard_normal,0.9504508376121521,No; needs LUT/dequant or codebook-aware MAC,model.layers.28.mlp.gate_proj,4,hadamard_lm,,,non-uniform codebook,0.11598177254199982,polar_hadamard_blockwise,hadamard,0,,,9.356101989746094,1.0,0,4.146780967712402,42.10639953613281,-1.4770403140573762e-05,0,58720256,0.006900600157678127,0.014600084163248539
4,128,,1.0059634447097778,Yes,model.layers.28.mlp.up_proj,,direct_absmax,,7,uniform integer-like,0.014141283929347992,none,none,,458752,flat_block_absmax,18.4951114654541,1.0,0,3.173513650894165,46.80492401123047,-3.1199235195344954e-07,0,58720256,0.003105435986071825,0.01118110865354538
3,128,,0.96800696849823,Yes,model.layers.28.mlp.up_proj,,direct_absmax,,3,uniform integer-like,0.0767747163772583,none,none,,458752,flat_block_absmax,11.147817611694336,1.0,0,3.173513650894165,46.80492401123047,-3.1199235195344954e-07,0,58720256,0.003105435986071825,0.01118110865354538
2,128,,0.7403210997581482,Yes,model.layers.28.mlp.up_proj,,direct_absmax,,1,uniform integer-like,0.5898755192756653,none,none,,458752,flat_block_absmax,2.292396306991577,1.0,0,3.173513650894165,46.80492401123047,-3.1199235195344954e-07,0,58720256,0.003105435986071825,0.01118110865354538
4,128,,1.0024940967559814,Yes-ish; needs rotation handling,model.layers.28.mlp.up_proj,,hadamard_absmax,,7,uniform integer-like,0.013731321319937706,polar_hadamard_blockwise,hadamard,0,458752,last_dim_block_absmax,18.62287712097168,1.0,0,3.173513650894165,46.80492401123047,-3.1199235195344954e-07,0,58720256,0.003105435986071825,0.01118110865354538
3,128,,0.9735100865364075,Yes-ish; needs rotation handling,model.layers.28.mlp.up_proj,,hadamard_absmax,,3,uniform integer-like,0.07482139766216278,polar_hadamard_blockwise,hadamard,0,458752,last_dim_block_absmax,11.25974178314209,1.0,0,3.173513650894165,46.80492401123047,-3.1199235195344954e-07,0,58720256,0.003105435986071825,0.01118110865354538
2,128,,0.7490102648735046,Yes-ish; needs rotation handling,model.layers.28.mlp.up_proj,,hadamard_absmax,,1,uniform integer-like,0.5873015522956848,polar_hadamard_blockwise,hadamard,0,458752,last_dim_block_absmax,2.3113884925842285,1.0,0,3.173513650894165,46.80492401123047,-3.1199235195344954e-07,0,58720256,0.003105435986071825,0.01118110865354538
4,128,gaussian_lloyd_max_standard_normal,1.004705786705017,No; needs LUT/dequant or codebook-aware MAC,model.layers.28.mlp.up_proj,16,hadamard_lm,,,non-uniform codebook,0.009326450526714325,polar_hadamard_blockwise,hadamard,0,,,20.302837371826172,1.0,0,3.173513650894165,46.80492401123047,-3.1199235195344954e-07,0,58720256,0.003105435986071825,0.01118110865354538
3,128,gaussian_lloyd_max_standard_normal,0.9922173023223877,No; needs LUT/dequant or codebook-aware MAC,model.layers.28.mlp.up_proj,8,hadamard_lm,,,non-uniform codebook,0.03395553305745125,polar_hadamard_blockwise,hadamard,0,,,14.69089412689209,1.0,0,3.173513650894165,46.80492401123047,-3.1199235195344954e-07,0,58720256,0.003105435986071825,0.01118110865354538
2,128,gaussian_lloyd_max_standard_normal,0.9494372606277466,No; needs LUT/dequant or codebook-aware MAC,model.layers.28.mlp.up_proj,4,hadamard_lm,,,non-uniform codebook,0.1159319281578064,polar_hadamard_blockwise,hadamard,0,,,9.357969284057617,1.0,0,3.173513650894165,46.80492401123047,-3.1199235195344954e-07,0,58720256,0.003105435986071825,0.01118110865354538
4,128,,1.0059621334075928,Yes,model.layers.28.mlp.down_proj,,direct_absmax,,7,uniform integer-like,0.014232109300792217,none,none,,458752,flat_block_absmax,18.467308044433594,1.0,0,3.4994261264801025,70.18895721435547,-1.7520360415801406e-06,0,58720256,0.003250820329412818,0.011092443019151688
3,128,,0.967787504196167,Yes,model.layers.28.mlp.down_proj,,direct_absmax,,3,uniform integer-like,0.0772668868303299,none,none,,458752,flat_block_absmax,11.120065689086914,1.0,0,3.4994261264801025,70.18895721435547,-1.7520360415801406e-06,0,58720256,0.003250820329412818,0.011092443019151688
2,128,,0.7388370037078857,Yes,model.layers.28.mlp.down_proj,,direct_absmax,,1,uniform integer-like,0.5915066599845886,none,none,,458752,flat_block_absmax,2.2804038524627686,1.0,0,3.4994261264801025,70.18895721435547,-1.7520360415801406e-06,0,58720256,0.003250820329412818,0.011092443019151688
4,128,,1.0026371479034424,Yes-ish; needs rotation handling,model.layers.28.mlp.down_proj,,hadamard_absmax,,7,uniform integer-like,0.01374117936939001,polar_hadamard_blockwise,hadamard,0,458752,last_dim_block_absmax,18.619760513305664,1.0,0,3.4994261264801025,70.18895721435547,-1.7520360415801406e-06,0,58720256,0.003250820329412818,0.011092443019151688
3,128,,0.9736068248748779,Yes-ish; needs rotation handling,model.layers.28.mlp.down_proj,,hadamard_absmax,,3,uniform integer-like,0.07486625760793686,polar_hadamard_blockwise,hadamard,0,458752,last_dim_block_absmax,11.2571382522583,1.0,0,3.4994261264801025,70.18895721435547,-1.7520360415801406e-06,0,58720256,0.003250820329412818,0.011092443019151688
2,128,,0.7488927841186523,Yes-ish; needs rotation handling,model.layers.28.mlp.down_proj,,hadamard_absmax,,1,uniform integer-like,0.5875751972198486,polar_hadamard_blockwise,hadamard,0,458752,last_dim_block_absmax,2.3093652725219727,1.0,0,3.4994261264801025,70.18895721435547,-1.7520360415801406e-06,0,58720256,0.003250820329412818,0.011092443019151688
4,128,gaussian_lloyd_max_standard_normal,1.0048439502716064,No; needs LUT/dequant or codebook-aware MAC,model.layers.28.mlp.down_proj,16,hadamard_lm,,,non-uniform codebook,0.009326358325779438,polar_hadamard_blockwise,hadamard,0,,,20.302879333496094,1.0,0,3.4994261264801025,70.18895721435547,-1.7520360415801406e-06,0,58720256,0.003250820329412818,0.011092443019151688
3,128,gaussian_lloyd_max_standard_normal,0.9923465847969055,No; needs LUT/dequant or codebook-aware MAC,model.layers.28.mlp.down_proj,8,hadamard_lm,,,non-uniform codebook,0.03397173807024956,polar_hadamard_blockwise,hadamard,0,,,14.688823699951172,1.0,0,3.4994261264801025,70.18895721435547,-1.7520360415801406e-06,0,58720256,0.003250820329412818,0.011092443019151688
2,128,gaussian_lloyd_max_standard_normal,0.9495118260383606,No; needs LUT/dequant or codebook-aware MAC,model.layers.28.mlp.down_proj,4,hadamard_lm,,,non-uniform codebook,0.11596833169460297,polar_hadamard_blockwise,hadamard,0,,,9.356605529785156,1.0,0,3.4994261264801025,70.18895721435547,-1.7520360415801406e-06,0,58720256,0.003250820329412818,0.011092443019151688
4,128,,0.9922911524772644,Yes,model.layers.29.self_attn.q_proj,,direct_absmax,,7,uniform integer-like,0.016626879572868347,none,none,,131072,flat_block_absmax,17.791893005371094,1.0,0,4.196308135986328,23.812576293945312,-2.233585746580502e-06,0,16777216,0.006686091423034668,0.015838362276554108
3,128,,0.9584897756576538,Yes,model.layers.29.self_attn.q_proj,,direct_absmax,,3,uniform integer-like,0.0896715521812439,none,none,,131072,flat_block_absmax,10.4734525680542,1.0,0,4.196308135986328,23.812576293945312,-2.233585746580502e-06,0,16777216,0.006686091423034668,0.015838362276554108
2,128,,0.7173022031784058,Yes,model.layers.29.self_attn.q_proj,,direct_absmax,,1,uniform integer-like,0.6096937656402588,none,none,,131072,flat_block_absmax,2.1488826274871826,1.0,0,4.196308135986328,23.812576293945312,-2.233585746580502e-06,0,16777216,0.006686091423034668,0.015838362276554108
4,128,,0.9946132898330688,Yes-ish; needs rotation handling,model.layers.29.self_attn.q_proj,,hadamard_absmax,,7,uniform integer-like,0.013694415800273418,polar_hadamard_blockwise,hadamard,0,131072,last_dim_block_absmax,18.634565353393555,1.0,0,4.196308135986328,23.812576293945312,-2.233585746580502e-06,0,16777216,0.006686091423034668,0.015838362276554108
3,128,,0.9661707878112793,Yes-ish; needs rotation handling,model.layers.29.self_attn.q_proj,,hadamard_absmax,,3,uniform integer-like,0.07460357993841171,polar_hadamard_blockwise,hadamard,0,131072,last_dim_block_absmax,11.2724027633667,1.0,0,4.196308135986328,23.812576293945312,-2.233585746580502e-06,0,16777216,0.006686091423034668,0.015838362276554108
2,128,,0.7438335418701172,Yes-ish; needs rotation handling,model.layers.29.self_attn.q_proj,,hadamard_absmax,,1,uniform integer-like,0.5864239931106567,polar_hadamard_blockwise,hadamard,0,131072,last_dim_block_absmax,2.317882776260376,1.0,0,4.196308135986328,23.812576293945312,-2.233585746580502e-06,0,16777216,0.006686091423034668,0.015838362276554108
4,128,gaussian_lloyd_max_standard_normal,0.9966942071914673,No; needs LUT/dequant or codebook-aware MAC,model.layers.29.self_attn.q_proj,16,hadamard_lm,,,non-uniform codebook,0.009312968701124191,polar_hadamard_blockwise,hadamard,0,,,20.309120178222656,1.0,0,4.196308135986328,23.812576293945312,-2.233585746580502e-06,0,16777216,0.006686091423034668,0.015838362276554108
3,128,gaussian_lloyd_max_standard_normal,0.9842260479927063,No; needs LUT/dequant or codebook-aware MAC,model.layers.29.self_attn.q_proj,8,hadamard_lm,,,non-uniform codebook,0.033892735838890076,polar_hadamard_blockwise,hadamard,0,,,14.698933601379395,1.0,0,4.196308135986328,23.812576293945312,-2.233585746580502e-06,0,16777216,0.006686091423034668,0.015838362276554108
2,128,gaussian_lloyd_max_standard_normal,0.9416683912277222,No; needs LUT/dequant or codebook-aware MAC,model.layers.29.self_attn.q_proj,4,hadamard_lm,,,non-uniform codebook,0.11573845893144608,polar_hadamard_blockwise,hadamard,0,,,9.365222930908203,1.0,0,4.196308135986328,23.812576293945312,-2.233585746580502e-06,0,16777216,0.006686091423034668,0.015838362276554108
4,128,,0.9913438558578491,Yes,model.layers.29.self_attn.k_proj,,direct_absmax,,7,uniform integer-like,0.017478786408901215,none,none,,32768,flat_block_absmax,17.574886322021484,1.0,0,4.489982604980469,21.68018913269043,-1.0247043974231929e-05,0,4194304,0.007288932800292969,0.02430131658911705
