a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,down_activation_quantizer_type,down_weight_quantizer_type,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9536086916923523,non-uniform codebook,non-uniform codebook,model.layers.8.mlp,rot_lm,ffn_rot_lm_w3a4,,0.0908983126282692,block_hadamard_last_dim,hadamard,0,ffn,10.41444206237793,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9531124830245972,non-uniform codebook,non-uniform codebook,model.layers.8.mlp,rot_lm,ffn_rot_lm_w4a3,,0.09169282019138336,block_hadamard_last_dim,hadamard,0,ffn,10.376646041870117,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.927868664264679,non-uniform codebook,non-uniform codebook,model.layers.8.mlp,rot_lm,ffn_rot_lm_w3a3,,0.13965095579624176,block_hadamard_last_dim,hadamard,0,ffn,8.549560546875,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999960660934448,,,model.layers.9.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,93.0137710571289,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9451700448989868,uniform integer-like,uniform integer-like,model.layers.9.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.11815885454416275,none,none,,ffn,9.275337219238281,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9712138772010803,uniform integer-like,uniform integer-like,model.layers.9.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.060193587094545364,block_hadamard_last_dim,hadamard,0,ffn,12.204498291015625,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9795582294464111,non-uniform codebook,non-uniform codebook,model.layers.9.mlp,rot_lm,ffn_rot_lm_w4a4,,0.04048975929617882,block_hadamard_last_dim,hadamard,0,ffn,13.92654800415039,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9528335332870483,non-uniform codebook,non-uniform codebook,model.layers.9.mlp,rot_lm,ffn_rot_lm_w3a4,,0.09230408817529678,block_hadamard_last_dim,hadamard,0,ffn,10.347790718078613,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9526029825210571,non-uniform codebook,non-uniform codebook,model.layers.9.mlp,rot_lm,ffn_rot_lm_w4a3,,0.09267374128103256,block_hadamard_last_dim,hadamard,0,ffn,10.330432891845703,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9267728328704834,non-uniform codebook,non-uniform codebook,model.layers.9.mlp,rot_lm,ffn_rot_lm_w3a3,,0.14148534834384918,block_hadamard_last_dim,hadamard,0,ffn,8.49288558959961,3,non-uniform codebook,block_rms
