a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
4,non-uniform codebook,block_rms,W2A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9665316343307495,model.layers.0.mlp.gate_proj,rot_lm,rot_lm_w2a4,,0.06908290088176727,block_hadamard_last_dim,hadamard,0,linear,11.606293678283691,2,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9866947531700134,model.layers.0.mlp.up_proj,direct_absmax,direct_absmax_w4a4,,0.027303045615553856,none,none,,linear,15.63788890838623,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9902738928794861,model.layers.0.mlp.up_proj,rot_absmax,rot_absmax_w4a4,,0.01988593116402626,block_hadamard_last_dim,hadamard,0,linear,17.01453971862793,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9932928681373596,model.layers.0.mlp.up_proj,rot_lm,rot_lm_w4a4,,0.01349944993853569,block_hadamard_last_dim,hadamard,0,linear,18.696840286254883,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9841766357421875,model.layers.0.mlp.up_proj,rot_lm,rot_lm_w3a4,,0.031596001237630844,block_hadamard_last_dim,hadamard,0,linear,15.003679275512695,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9842429161071777,model.layers.0.mlp.up_proj,rot_lm,rot_lm_w4a3,,0.031448159366846085,block_hadamard_last_dim,hadamard,0,linear,15.0240478515625,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9751332998275757,model.layers.0.mlp.up_proj,rot_lm,rot_lm_w3a3,,0.04940588027238846,block_hadamard_last_dim,hadamard,0,linear,13.062213897705078,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W2A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9523333311080933,model.layers.0.mlp.up_proj,rot_lm,rot_lm_w2a4,,0.09403802454471588,block_hadamard_last_dim,hadamard,0,linear,10.266963958740234,2,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9934142827987671,model.layers.0.mlp.down_proj,direct_absmax,direct_absmax_w4a4,,0.013248042203485966,none,none,,linear,18.77848243713379,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9958391189575195,model.layers.0.mlp.down_proj,rot_absmax,rot_absmax_w4a4,,0.008481723256409168,block_hadamard_last_dim,hadamard,0,linear,20.715160369873047,4,uniform integer-like,last_dim_block_absmax
