layer_index,method_key,bits,ip_bias,ip_variance,score_relative_mse,softmax_kl,topk_overlap,value_relative_mse,output_cosine
6,hadamard_lm_k3v4_h32,K3V4,1.132791519165039,21.543869018554688,0.010278983041644096,0.03204368054866791,0.8348144292831421,0.009224948473274708,0.9211729764938354
6,hadamard_lm_k4v4,K4V4,0.29694879055023193,5.795735836029053,0.002649512607604265,0.008321691304445267,0.9048095941543579,0.009110275655984879,0.979478657245636
6,hadamard_lm_k4v4_h32,K4V4,0.3108632564544678,5.955981254577637,0.0027254789602011442,0.008328471332788467,0.9062744379043579,0.009224948473274708,0.9776269793510437
7,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000208616256714
7,hadamard_lm_k3v4,K3V4,0.4552764296531677,13.240876197814941,0.01575903221964836,0.034895364195108414,0.817675769329071,0.009318101219832897,0.9624006152153015
7,hadamard_lm_k3v4_h32,K3V4,0.5148030519485474,12.007486343383789,0.014381368644535542,0.027452167123556137,0.8144286870956421,0.009276418946683407,0.9666063785552979
7,hadamard_lm_k4v4,K4V4,0.12229515612125397,3.457397937774658,0.004069030284881592,0.008680257014930248,0.894604504108429,0.009318101219832897,0.9884511232376099
7,hadamard_lm_k4v4_h32,K4V4,0.03289782255887985,3.248169422149658,0.0038075903430581093,0.008154202252626419,0.895092785358429,0.009276418946683407,0.9878624081611633
8,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000585317611694
8,hadamard_lm_k3v4,K3V4,1.3937958478927612,26.22979736328125,0.0070069883950054646,0.028708551079034805,0.860791027545929,0.009002347476780415,0.9481475353240967
8,hadamard_lm_k3v4_h32,K3V4,1.3724603652954102,24.551668167114258,0.0065749287605285645,0.02792009525001049,0.8672119379043579,0.009000362828373909,0.9424626231193542
8,hadamard_lm_k4v4,K4V4,0.37396499514579773,7.003496170043945,0.0017766760429367423,0.00815501343458891,0.918994128704071,0.009002347476780415,0.9804859161376953
8,hadamard_lm_k4v4_h32,K4V4,0.25410252809524536,6.401447296142578,0.001608212129212916,0.007294156588613987,0.924487292766571,0.009000362828373909,0.9786970019340515
9,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000461339950562
9,hadamard_lm_k3v4,K3V4,0.48614248633384705,18.244155883789062,0.010507592000067234,0.0327930822968483,0.868090808391571,0.009116767905652523,0.9610202312469482
9,hadamard_lm_k3v4_h32,K3V4,0.19832149147987366,16.405290603637695,0.009350040927529335,0.0328560397028923,0.873217761516571,0.009156408719718456,0.9553192853927612
9,hadamard_lm_k4v4,K4V4,0.15053310990333557,5.130081653594971,0.002929733134806156,0.010230757296085358,0.9246826171875,0.009116767905652523,0.9861762523651123
9,hadamard_lm_k4v4_h32,K4V4,0.21227622032165527,4.471909046173096,0.002568247728049755,0.008485483005642891,0.9293212890625,0.009156408719718456,0.9876890182495117
10,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000215768814087
10,hadamard_lm_k3v4,K3V4,0.6650634407997131,20.380298614501953,0.01344887726008892,0.041133612394332886,0.865039050579071,0.009138676337897778,0.949884295463562
10,hadamard_lm_k3v4_h32,K3V4,1.0397717952728271,18.2768497467041,0.012502900324761868,0.04010073095560074,0.873706042766571,0.00900641642510891,0.9525133967399597
10,hadamard_lm_k4v4,K4V4,0.1996103823184967,5.956256866455078,0.0038727535866200924,0.010647564195096493,0.922290027141571,0.009138676337897778,0.9860746264457703
10,hadamard_lm_k4v4_h32,K4V4,0.2492169588804245,4.823392391204834,0.0031554410234093666,0.009383711032569408,0.928881824016571,0.00900641642510891,0.9849666953086853
11,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000296831130981
11,hadamard_lm_k3v4,K3V4,0.584944486618042,17.97359848022461,0.011074758134782314,0.0376124233007431,0.8595215082168579,0.009119578637182713,0.9618398547172546
11,hadamard_lm_k3v4_h32,K3V4,0.6036440134048462,16.869163513183594,0.010420393198728561,0.03639834374189377,0.8626708984375,0.0090690478682518,0.9601290225982666
11,hadamard_lm_k4v4,K4V4,0.14538908004760742,4.665687561035156,0.002833923790603876,0.009306993335485458,0.9237060546875,0.009119578637182713,0.9875122308731079
11,hadamard_lm_k4v4_h32,K4V4,0.2033473253250122,4.297126293182373,0.0026232916861772537,0.007853898219764233,0.927563488483429,0.0090690478682518,0.9898002743721008
12,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000232458114624
12,hadamard_lm_k3v4,K3V4,0.42344534397125244,15.013572692871094,0.014370670542120934,0.041380368173122406,0.860522449016571,0.009299787692725658,0.9695812463760376
12,hadamard_lm_k3v4_h32,K3V4,0.6102501749992371,14.949187278747559,0.014492419548332691,0.04506208747625351,0.851757824420929,0.00941445678472519,0.9678266644477844
12,hadamard_lm_k4v4,K4V4,0.12848983705043793,4.06593656539917,0.0038615125231444836,0.011061588302254677,0.921215832233429,0.009299787692725658,0.9898895621299744
12,hadamard_lm_k4v4_h32,K4V4,0.2035088837146759,3.9799420833587646,0.0038037304766476154,0.01109034288674593,0.9168945550918579,0.00941445678472519,0.9904211163520813
13,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000190734863281
13,hadamard_lm_k3v4,K3V4,0.6660556197166443,18.882793426513672,0.016303297132253647,0.055628325790166855,0.8541504144668579,0.009436738677322865,0.9607541561126709
13,hadamard_lm_k3v4_h32,K3V4,0.7700262069702148,19.087888717651367,0.01660226285457611,0.056860730051994324,0.852368175983429,0.009081513620913029,0.9632814526557922
13,hadamard_lm_k4v4,K4V4,0.21016579866409302,5.087456703186035,0.004328914452344179,0.015749070793390274,0.918212890625,0.009436738677322865,0.9877066612243652
13,hadamard_lm_k4v4_h32,K4V4,0.12251928448677063,4.743122100830078,0.004013844300061464,0.01533862017095089,0.9223388433456421,0.009081513620913029,0.9878702163696289
14,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000107288360596
14,hadamard_lm_k3v4,K3V4,0.5697309970855713,19.191221237182617,0.013546375557780266,0.055731840431690216,0.858325183391571,0.00935897883027792,0.9583770036697388
14,hadamard_lm_k3v4_h32,K3V4,0.7583659887313843,19.913150787353516,0.014221379533410072,0.053849734365940094,0.8622802495956421,0.009350876323878765,0.9616528749465942
14,hadamard_lm_k4v4,K4V4,0.15886440873146057,5.88220739364624,0.004100494086742401,0.01601836085319519,0.9168701171875,0.00935897883027792,0.9877882599830627
14,hadamard_lm_k4v4_h32,K4V4,0.12326269596815109,5.569944381713867,0.003876772942021489,0.013937091454863548,0.9238525629043579,0.009350876323878765,0.9882119297981262
15,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000535249710083
15,hadamard_lm_k3v4,K3V4,0.7828900814056396,18.478349685668945,0.008580821566283703,0.0367414765059948,0.858593761920929,0.00908949039876461,0.9687045812606812
15,hadamard_lm_k3v4_h32,K3V4,1.2231078147888184,19.910024642944336,0.009621216915547848,0.03893355280160904,0.8608154058456421,0.008987012319266796,0.9683263301849365
15,hadamard_lm_k4v4,K4V4,0.17013776302337646,5.684548377990723,0.0025680058170109987,0.011318383738398552,0.9167236089706421,0.00908949039876461,0.9890381693840027
15,hadamard_lm_k4v4_h32,K4V4,0.2246427983045578,5.745386600494385,0.002605021931231022,0.011210523545742035,0.917407214641571,0.008987012319266796,0.9890218377113342
16,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000373125076294
16,hadamard_lm_k3v4,K3V4,0.6374643445014954,22.087215423583984,0.01561402902007103,0.05387871712446213,0.8475586175918579,0.009206283837556839,0.9692450165748596
16,hadamard_lm_k3v4_h32,K3V4,0.7462683320045471,20.45526885986328,0.014585713855922222,0.04677911847829819,0.857373058795929,0.009152107872068882,0.9716930985450745
16,hadamard_lm_k4v4,K4V4,0.07534932345151901,5.872174263000488,0.004080140497535467,0.012944595888257027,0.9147704839706421,0.009206283837556839,0.9909664392471313
16,hadamard_lm_k4v4_h32,K4V4,0.17666076123714447,5.468580722808838,0.0038177070673555136,0.013333210721611977,0.919482409954071,0.009152107872068882,0.9900773167610168
17,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000247955322266
17,hadamard_lm_k3v4,K3V4,0.7308690547943115,18.978443145751953,0.01131720282137394,0.03666221722960472,0.860791027545929,0.009001046419143677,0.9463686943054199
17,hadamard_lm_k3v4_h32,K3V4,0.973127007484436,20.4024658203125,0.012382552027702332,0.034665994346141815,0.860034167766571,0.009292293339967728,0.9471262097358704
17,hadamard_lm_k4v4,K4V4,0.1585041880607605,5.667211055755615,0.0033015210647135973,0.009346498176455498,0.919189453125,0.009001046419143677,0.982424795627594
17,hadamard_lm_k4v4_h32,K4V4,0.3914262056350708,5.474489212036133,0.003264035563915968,0.009835542179644108,0.92138671875,0.009292293339967728,0.9807870388031006
18,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000412464141846
18,hadamard_lm_k3v4,K3V4,0.569058358669281,19.512752532958984,0.012902033515274525,0.04302794113755226,0.856249988079071,0.009095010347664356,0.9573807716369629
18,hadamard_lm_k3v4_h32,K3V4,0.8469598889350891,16.866247177124023,0.011436650529503822,0.03126469999551773,0.866162121295929,0.009150042198598385,0.9743902683258057
