bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_block_size,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,rotation_backend,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
K4V4,rotated non-uniform KV fake quant,0.12229515612125397,0.004069030284881592,3.457397937774658,4,0.008659649640321732,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.7.self_attn,7,hadamard_lm,hadamard_lm_k4v4,0.9884511232376099,0.023729858919978142,hadamard,0.05425553023815155,0.004069030284881592,0.008680257014930248,0.894604504108429,4,0.009318101219832897,per_token_head_rms
K4V4,head-internal H32 non-uniform KV fake quant,0.03289782255887985,0.0038075903430581093,3.248169422149658,4,0.008614874444901943,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.7.self_attn,7,hadamard_lm,hadamard_lm_k4v4_h32,0.9878624081611633,0.024191856384277344,hadamard,0.05076955258846283,0.0038075903430581093,0.008154202252626419,0.895092785358429,4,0.009276418946683407,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.4552764296531677,0.01575903221964836,13.240876197814941,3,0.03070179559290409,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.7.self_attn,7,hadamard_lm,hadamard_lm_k3v4,0.9624006152153015,0.10811647772789001,hadamard,0.21012738347053528,0.01575903221964836,0.034895364195108414,0.817675769329071,4,0.009318101219832897,per_token_head_rms
K3V4,head-internal H32 key bit reduction,0.5148030519485474,0.014381368644535542,12.007486343383789,3,0.030811790376901627,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.7.self_attn,7,hadamard_lm,hadamard_lm_k3v4_h32,0.9666063785552979,0.06821180880069733,hadamard,0.191757932305336,0.014381368644535542,0.027452167123556137,0.8144286870956421,4,0.009276418946683407,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,,none,none,model.layers.8.self_attn,8,fp16,fp16,1.0000585317611694,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,rotated non-uniform KV fake quant,0.37396499514579773,0.0017766760429367423,7.003496170043945,4,0.008826689794659615,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.8.self_attn,8,hadamard_lm,hadamard_lm_k4v4,0.9804859161376953,0.04360395669937134,hadamard,0.11161477863788605,0.0017766760429367423,0.00815501343458891,0.918994128704071,4,0.009002347476780415,per_token_head_rms
K4V4,head-internal H32 non-uniform KV fake quant,0.25410252809524536,0.001608212129212916,6.401447296142578,4,0.008784432895481586,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.8.self_attn,8,hadamard_lm,hadamard_lm_k4v4_h32,0.9786970019340515,0.043467551469802856,hadamard,0.10103149712085724,0.001608212129212916,0.007294156588613987,0.924487292766571,4,0.009000362828373909,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,1.3937958478927612,0.0070069883950054646,26.22979736328125,3,0.03156781569123268,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.8.self_attn,8,hadamard_lm,hadamard_lm_k3v4,0.9481475353240967,0.13415662944316864,hadamard,0.4401947557926178,0.0070069883950054646,0.028708551079034805,0.860791027545929,4,0.009002347476780415,per_token_head_rms
K3V4,head-internal H32 key bit reduction,1.3724603652954102,0.0065749287605285645,24.551668167114258,3,0.032102469354867935,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.8.self_attn,8,hadamard_lm,hadamard_lm_k3v4_h32,0.9424626231193542,0.14259682595729828,hadamard,0.4130517840385437,0.0065749287605285645,0.02792009525001049,0.8672119379043579,4,0.009000362828373909,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,,none,none,model.layers.9.self_attn,9,fp16,fp16,1.0000461339950562,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
