a_bits,block_size,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_block_size,kv_method,kv_rotation_backend,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,linear_rotation_backend,method,method_key,mxfp4_group_size,o_proj_domain_block_size,output_cosine,output_relative_mse,pre_o_output_cosine,pre_o_output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_path,value_relative_mse,w_bits
4,128,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,3.309190273284912,0.015100701712071896,18.07818603515625,3,0.0053396583534777164,0.03566688671708107,K3V4,64,hadamard_lm,hadamard,model.layers.5.self_attn,5,0.885486364364624,0.2646465301513672,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.8707228899002075,0.33936768770217896,0.8707199692726135,0.33936455845832825,0.9892702301343282,0.02189326984807849,0.006291918456554413,0.4535769522190094,0.015100701712071896,0.026888618245720863,0.8301025629043579,4,0.05404823273420334,o_proj_absorb,0.06285518407821655,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.6.self_attn,6,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,128,MXFP4 W4A4 linear fake quant plus HLM K4V4,1.669679045677185,0.006914351135492325,12.567240715026855,4,0.005028602667152882,0.013779704459011555,K4V4,64,hadamard_lm,hadamard,model.layers.6.self_attn,6,0.9411690831184387,0.13839058578014374,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.9391535520553589,0.14876008033752441,0.9391506314277649,0.14876121282577515,0.9899890422821045,0.02020727765435974,0.006339338142424822,0.23992295563220978,0.006914351135492325,0.02073477767407894,0.882153332233429,4,0.04925389215350151,o_proj_absorb,0.05787106975913048,4
4,128,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,1.7644094228744507,0.005362223368138075,8.795035362243652,4,0.0028532485011965036,0.01153997890651226,K4V4,64,hadamard_lm,hadamard,model.layers.6.self_attn,6,0.9427056312561035,0.12562055885791779,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.9386511445045471,0.13875873386859894,0.9386489987373352,0.13875794410705566,0.9925933877627054,0.014954682517175874,0.0037383809685707092,0.18606524169445038,0.005362223368138075,0.014014006592333317,0.8916991949081421,4,0.038272418081760406,o_proj_absorb,0.047245487570762634,4
4,128,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,1.454966425895691,0.004533109255135059,7.949989318847656,4,0.0019465662771835923,0.01067781075835228,K4V4,64,hadamard_lm,hadamard,model.layers.6.self_attn,6,0.9567903280258179,0.09169789403676987,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.9521453380584717,0.10832066088914871,0.9521424174308777,0.10832149535417557,0.9948656360308329,0.010367578555208942,0.0024799969978630543,0.1572955846786499,0.004533109255135059,0.011810756288468838,0.9005126953125,4,0.026676172390580177,o_proj_absorb,0.03543371707201004,4
4,128,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,3.352814197540283,0.01603974960744381,24.378969192504883,3,0.005294313188642263,0.035939544439315796,K3V4,64,hadamard_lm,hadamard,model.layers.6.self_attn,6,0.8777841925621033,0.2642395496368408,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.8687707781791687,0.3108217716217041,0.8687681555747986,0.31082355976104736,0.9883735378583273,0.02370757268120845,0.006563748698681593,0.5565676689147949,0.01603974960744381,0.03952382877469063,0.8278564214706421,4,0.0592646561563015,o_proj_absorb,0.06751199811697006,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.7.self_attn,7,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,128,MXFP4 W4A4 linear fake quant plus HLM K4V4,1.169034481048584,0.01238262839615345,9.200217247009277,4,0.006944808177649975,0.015359420329332352,K4V4,64,hadamard_lm,hadamard,model.layers.7.self_attn,7,0.9420341849327087,0.13021788001060486,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.953538179397583,0.10579331964254379,0.9535344839096069,0.10579320788383484,0.9892072677612305,0.021885891755421955,0.008207150734961033,0.16510717570781708,0.01238262839615345,0.024344898760318756,0.857373058795929,4,0.05050571635365486,o_proj_absorb,0.059605564922094345,4
4,128,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,0.9483087062835693,0.007641343865543604,5.62153959274292,4,0.003555987263098359,0.012024580501019955,K4V4,64,hadamard_lm,hadamard,model.layers.7.self_attn,7,0.9437955617904663,0.11741644889116287,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.9496584534645081,0.10938803851604462,0.9496549367904663,0.10938750207424164,0.9919242262840271,0.01634217573640247,0.004565522540360689,0.10188795626163483,0.007641343865543604,0.013670201413333416,0.881542980670929,4,0.04090501740574837,o_proj_absorb,0.04966011270880699,4
4,128,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,0.5092148780822754,0.006203120108693838,5.034204483032227,4,0.0023281704634428024,0.010838382877409458,K4V4,64,hadamard_lm,hadamard,model.layers.7.self_attn,7,0.9586309790611267,0.08200576156377792,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.9585545063018799,0.08305578678846359,0.958550214767456,0.0830565094947815,0.9943171342213949,0.011429680821796259,0.003011341206729412,0.08271100372076035,0.006203120108693838,0.011386232450604439,0.8818603754043579,4,0.02894953079521656,o_proj_absorb,0.03794412314891815,4
