bits,block_size,codebook,cosine,element_format,int_gemm_friendly,layer,levels,method,mxfp4_group_size,quantizer_type,relative_mse,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,sqnr_db,weight_finite_ratio,weight_inf_count,weight_kurtosis,weight_max_mean_ratio,weight_mean,weight_nan_count,weight_numel,weight_outlier_ratio_3sigma,weight_std
4,64,gaussian_lloyd_max_standard_normal,0.9954370260238647,,No; needs LUT/dequant or codebook-aware MAC,model.layers.2.self_attn.k_proj,16,hadamard_lm,,non-uniform codebook,0.00914264190942049,polar_hadamard_blockwise,hadamard,11,,,,20.3892822265625,1.0,0,5.996884346008301,16.830820083618164,9.297170618083328e-05,0,524288,0.011598587036132812,0.054195597767829895
3,64,gaussian_lloyd_max_standard_normal,0.9832586646080017,,No; needs LUT/dequant or codebook-aware MAC,model.layers.2.self_attn.k_proj,8,hadamard_lm,,non-uniform codebook,0.033239878714084625,polar_hadamard_blockwise,hadamard,11,,,,14.783405303955078,1.0,0,5.996884346008301,16.830820083618164,9.297170618083328e-05,0,524288,0.011598587036132812,0.054195597767829895
4,64,,0.9929758310317993,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.2.self_attn.v_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.01401995774358511,none,none,,16384,E8M0_like_power2,group_power2,18.53253173828125,1.0,0,3.414846897125244,7.755634307861328,-1.3335360563360155e-05,0,524288,0.004993438720703125,0.011770345270633698
4,64,,0.9933958649635315,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.2.self_attn.v_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013178522698581219,polar_hadamard_blockwise,hadamard,11,16384,E8M0_like_power2,group_power2,18.801332473754883,1.0,0,3.414846897125244,7.755634307861328,-1.3335360563360155e-05,0,524288,0.004993438720703125,0.011770345270633698
4,64,gaussian_lloyd_max_standard_normal,0.9954037666320801,,No; needs LUT/dequant or codebook-aware MAC,model.layers.2.self_attn.v_proj,16,hadamard_lm,,non-uniform codebook,0.00917699933052063,polar_hadamard_blockwise,hadamard,11,,,,20.37299346923828,1.0,0,3.414846897125244,7.755634307861328,-1.3335360563360155e-05,0,524288,0.004993438720703125,0.011770345270633698
3,64,gaussian_lloyd_max_standard_normal,0.9831348061561584,,No; needs LUT/dequant or codebook-aware MAC,model.layers.2.self_attn.v_proj,8,hadamard_lm,,non-uniform codebook,0.033450834453105927,polar_hadamard_blockwise,hadamard,11,,,,14.75593090057373,1.0,0,3.414846897125244,7.755634307861328,-1.3335360563360155e-05,0,524288,0.004993438720703125,0.011770345270633698
4,64,,0.993743360042572,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.2.self_attn.o_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.013600844889879227,none,none,,131072,E8M0_like_power2,group_power2,18.66434097290039,1.0,0,18.460073471069336,55.632286071777344,-3.392967073523323e-06,0,4194304,0.004909038543701172,0.014069211669266224
4,64,,0.9939817190170288,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.2.self_attn.o_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013183013536036015,polar_hadamard_blockwise,hadamard,11,131072,E8M0_like_power2,group_power2,18.799854278564453,1.0,0,18.460073471069336,55.632286071777344,-3.392967073523323e-06,0,4194304,0.004909038543701172,0.014069211669266224
4,64,gaussian_lloyd_max_standard_normal,0.9959852695465088,,No; needs LUT/dequant or codebook-aware MAC,model.layers.2.self_attn.o_proj,16,hadamard_lm,,non-uniform codebook,0.009190182201564312,polar_hadamard_blockwise,hadamard,11,,,,20.36676025390625,1.0,0,18.460073471069336,55.632286071777344,-3.392967073523323e-06,0,4194304,0.004909038543701172,0.014069211669266224
3,64,gaussian_lloyd_max_standard_normal,0.9837161898612976,,No; needs LUT/dequant or codebook-aware MAC,model.layers.2.self_attn.o_proj,8,hadamard_lm,,non-uniform codebook,0.03346849977970123,polar_hadamard_blockwise,hadamard,11,,,,14.753637313842773,1.0,0,18.460073471069336,55.632286071777344,-3.392967073523323e-06,0,4194304,0.004909038543701172,0.014069211669266224
4,64,,0.9976977109909058,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.2.mlp.gate_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.013992276042699814,none,none,,360448,E8M0_like_power2,group_power2,18.54111671447754,1.0,0,14.806329727172852,79.67435455322266,-4.5748052798444405e-05,0,11534336,0.0029554367065429688,0.018459690734744072
4,64,,0.9956415891647339,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.2.mlp.gate_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013148355297744274,polar_hadamard_blockwise,hadamard,11,360448,E8M0_like_power2,group_power2,18.8112850189209,1.0,0,14.806329727172852,79.67435455322266,-4.5748052798444405e-05,0,11534336,0.0029554367065429688,0.018459690734744072
4,64,gaussian_lloyd_max_standard_normal,0.9976356029510498,,No; needs LUT/dequant or codebook-aware MAC,model.layers.2.mlp.gate_proj,16,hadamard_lm,,non-uniform codebook,0.009171104989945889,polar_hadamard_blockwise,hadamard,11,,,,20.375783920288086,1.0,0,14.806329727172852,79.67435455322266,-4.5748052798444405e-05,0,11534336,0.0029554367065429688,0.018459690734744072
3,64,gaussian_lloyd_max_standard_normal,0.9853540658950806,,No; needs LUT/dequant or codebook-aware MAC,model.layers.2.mlp.gate_proj,8,hadamard_lm,,non-uniform codebook,0.033453021198511124,polar_hadamard_blockwise,hadamard,11,,,,14.755645751953125,1.0,0,14.806329727172852,79.67435455322266,-4.5748052798444405e-05,0,11534336,0.0029554367065429688,0.018459690734744072
4,64,,0.998706042766571,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.2.mlp.up_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.013793548569083214,none,none,,360448,E8M0_like_power2,group_power2,18.603240966796875,1.0,0,3.2940711975097656,29.701007843017578,-1.6555687807340291e-06,0,11534336,0.0029614188242703676,0.01751963049173355
4,64,,0.9958400726318359,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.2.mlp.up_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013158165849745274,polar_hadamard_blockwise,hadamard,11,360448,E8M0_like_power2,group_power2,18.808046340942383,1.0,0,3.2940711975097656,29.701007843017578,-1.6555687807340291e-06,0,11534336,0.0029614188242703676,0.01751963049173355
4,64,gaussian_lloyd_max_standard_normal,0.9978378415107727,,No; needs LUT/dequant or codebook-aware MAC,model.layers.2.mlp.up_proj,16,hadamard_lm,,non-uniform codebook,0.009179460816085339,polar_hadamard_blockwise,hadamard,11,,,,20.371828079223633,1.0,0,3.2940711975097656,29.701007843017578,-1.6555687807340291e-06,0,11534336,0.0029614188242703676,0.01751963049173355
3,64,gaussian_lloyd_max_standard_normal,0.9855700135231018,,No; needs LUT/dequant or codebook-aware MAC,model.layers.2.mlp.up_proj,8,hadamard_lm,,non-uniform codebook,0.03342582657933235,polar_hadamard_blockwise,hadamard,11,,,,14.759178161621094,1.0,0,3.2940711975097656,29.701007843017578,-1.6555687807340291e-06,0,11534336,0.0029614188242703676,0.01751963049173355
4,64,,0.9987983703613281,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.2.mlp.down_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.013802092522382736,none,none,,360448,E8M0_like_power2,group_power2,18.60055160522461,1.0,0,4.5576605796813965,60.40662384033203,5.394591880758526e-06,0,11534336,0.0030215869192034006,0.017433801665902138
4,64,,0.9958352446556091,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.2.mlp.down_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013161053881049156,polar_hadamard_blockwise,hadamard,11,360448,E8M0_like_power2,group_power2,18.807092666625977,1.0,0,4.5576605796813965,60.40662384033203,5.394591880758526e-06,0,11534336,0.0030215869192034006,0.017433801665902138
