bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
K4V3,uniform fake quant with lower value bits,0.05263721942901611,0.00794311985373497,2.29917311668396,4,0.012791777029633522,per_token_head_absmax,absmax_per_token_head,none,model.layers.2.self_attn,2,absmax,absmax_k4v3,0.9464054107666016,0.11483348160982132,0.0359678715467453,0.00794311985373497,0.014375104568898678,0.890185534954071,3,0.08582795411348343,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,0.1313173472881317,0.006491165142506361,1.8639181852340698,4,0.009276194497942924,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.2.self_attn,2,hadamard_lm,hadamard_lm_k4v4,0.9869197607040405,0.026096254587173462,0.029393162578344345,0.006491165142506361,0.00923340767621994,0.911669909954071,4,0.009183427318930626,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.4943963885307312,0.025004079565405846,7.001842021942139,3,0.034325532615184784,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.2.self_attn,2,hadamard_lm,hadamard_lm_k3v4,0.9624251127243042,0.07387560606002808,0.11322296410799026,0.025004079565405846,0.03449491411447525,0.8399658203125,4,0.009183427318930626,per_token_head_rms
K4V3,rotated non-uniform value bit reduction,0.1313173472881317,0.006491165142506361,1.8639181852340698,4,0.009276194497942924,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.2.self_attn,2,hadamard_lm,hadamard_lm_k4v3,0.9760569930076599,0.04745086282491684,0.029393162578344345,0.006491165142506361,0.00923340767621994,0.911669909954071,3,0.032764583826065063,per_token_head_rms
K3V3,aggressive rotated non-uniform KV fake quant,0.4943963885307312,0.025004079565405846,7.001842021942139,3,0.034325532615184784,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.2.self_attn,2,hadamard_lm,hadamard_lm_k3v3,0.95302814245224,0.09183574467897415,0.11322296410799026,0.025004079565405846,0.03449491411447525,0.8399658203125,3,0.032764583826065063,per_token_head_rms
K2V4,key 2-bit failure boundary,1.47189462184906,0.08462981134653091,22.359542846679688,2,0.1166444644331932,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.2.self_attn,2,hadamard_lm,hadamard_lm_k2v4,0.8884657621383667,0.2203024923801422,0.38321900367736816,0.08462981134653091,0.11539281904697418,0.734423816204071,4,0.009183427318930626,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,none,none,model.layers.3.self_attn,3,fp16,fp16,1.0000132322311401,0.0,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,uniform fake quant KV baseline,-0.09491217136383057,0.005765759851783514,11.018759727478027,4,0.032047025859355927,per_token_head_absmax,absmax_per_token_head,none,model.layers.3.self_attn,3,absmax,absmax_k4v4,0.9627953171730042,0.07944467663764954,0.17230886220932007,0.005765759851783514,0.08014166355133057,0.7444092035293579,4,0.014687660150229931,per_token_head_absmax
K3V4,uniform fake quant with lower key bits,0.5114865899085999,0.0344046875834465,65.54183197021484,3,0.17331403493881226,per_token_head_absmax,absmax_per_token_head,none,model.layers.3.self_attn,3,absmax,absmax_k3v4,0.8086994290351868,0.5060185194015503,1.0281789302825928,0.0344046875834465,0.3931214213371277,0.5179198980331421,4,0.014687660150229931,per_token_head_absmax
K4V3,uniform fake quant with lower value bits,-0.09491217136383057,0.005765759851783514,11.018759727478027,4,0.032047025859355927,per_token_head_absmax,absmax_per_token_head,none,model.layers.3.self_attn,3,absmax,absmax_k4v3,0.9456010460853577,0.12328512221574783,0.17230886220932007,0.005765759851783514,0.08014166355133057,0.7444092035293579,3,0.0810149759054184,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,0.3264750838279724,0.001998565625399351,3.7159314155578613,4,0.008848507888615131,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.3.self_attn,3,hadamard_lm,hadamard_lm_k4v4,0.9881208539009094,0.024001292884349823,0.059726834297180176,0.001998565625399351,0.025858771055936813,0.8419433832168579,4,0.009014054201543331,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,1.0277941226959229,0.007446159143000841,13.185388565063477,3,0.03214266151189804,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.3.self_attn,3,hadamard_lm,hadamard_lm_k3v4,0.9619776606559753,0.07713914662599564,0.22252734005451202,0.007446159143000841,0.09011958539485931,0.716259777545929,4,0.009014054201543331,per_token_head_rms
K4V3,rotated non-uniform value bit reduction,0.3264750838279724,0.001998565625399351,3.7159314155578613,4,0.008848507888615131,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.3.self_attn,3,hadamard_lm,hadamard_lm_k4v3,0.9814929962158203,0.036767277866601944,0.059726834297180176,0.001998565625399351,0.025858771055936813,0.8419433832168579,3,0.03238797187805176,per_token_head_rms
K3V3,aggressive rotated non-uniform KV fake quant,1.0277941226959229,0.007446159143000841,13.185388565063477,3,0.03214266151189804,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.3.self_attn,3,hadamard_lm,hadamard_lm_k3v3,0.9551830291748047,0.089512400329113,0.22252734005451202,0.007446159143000841,0.09011958539485931,0.716259777545929,3,0.03238797187805176,per_token_head_rms
K2V4,key 2-bit failure boundary,4.878676414489746,0.031656838953495026,36.7463493347168,2,0.10805816203355789,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.3.self_attn,3,hadamard_lm,hadamard_lm_k2v4,0.8971232175827026,0.20741496980190277,0.9460598230361938,0.031656838953495026,0.25151312351226807,0.5458984375,4,0.009014054201543331,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,none,none,model.layers.4.self_attn,4,fp16,fp16,1.0000067949295044,0.0,0.0,0.0,0.0,1.0,16,0.0,none
