activation_bits,bits,block_size,codebook,compute_interpretation,cosine,element_format,layer_index,levels,method,mxfp4_group_size,original_finite_ratio,original_inf_count,original_kurtosis,original_max_mean_ratio,original_mean,original_nan_count,original_numel,original_outlier_ratio_3sigma,original_std,quantizer_type,relative_mse,rotated_finite_ratio,rotated_inf_count,rotated_kurtosis,rotated_max_mean_ratio,rotated_mean,rotated_nan_count,rotated_numel,rotated_outlier_ratio_3sigma,rotated_std,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,site,sqnr_db
3,3,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9838513731956482,,17,8,rot_lm,,1.0,0,5.645041465759277,12.469531059265137,-0.0050409771502017975,0,131072,0.0120849609375,0.3241444230079651,non-uniform codebook,0.03206576406955719,1.0,0,5.099924087524414,10.871304512023926,0.005101390182971954,0,131072,0.01031494140625,0.3241429030895233,block_hadamard_last_dim,hadamard,11,,,block_rms,v_proj_out,14.939583778381348
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.9921267032623291,E2M1,17,,mxfp4,32,1.0,0,5.629861354827881,25.41568946838379,-0.0014912873739376664,0,1048576,0.007343292236328125,0.3811550438404083,mxfp4_e2m1_fake_quant,0.01579231210052967,1.0,0,3.0926384925842285,6.890263080596924,-0.003676772816106677,0,1048576,0.0033245086669921875,0.38114064931869507,none,none,,32768,E8M0_like_power2,group_power2,ffn_input,18.01554298400879
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.9937112927436829,E2M1,17,,rot_mxfp4,32,1.0,0,5.629861354827881,25.41568946838379,-0.0014912873739376664,0,1048576,0.007343292236328125,0.3811550438404083,mxfp4_e2m1_fake_quant,0.013621577993035316,1.0,0,3.0926384925842285,6.890263080596924,-0.003676772816106677,0,1048576,0.0033245086669921875,0.38114064931869507,block_hadamard_last_dim,hadamard,11,32768,E8M0_like_power2,group_power2,ffn_input,18.657726287841797
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9956302642822266,,17,16,rot_lm,,1.0,0,5.629861354827881,25.41568946838379,-0.0014912873739376664,0,1048576,0.007343292236328125,0.3811550438404083,non-uniform codebook,0.008830791339278221,1.0,0,3.0926384925842285,6.890263080596924,-0.003676772816106677,0,1048576,0.0033245086669921875,0.38114064931869507,block_hadamard_last_dim,hadamard,11,,,block_rms,ffn_input,20.54000473022461
3,3,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9839076399803162,,17,8,rot_lm,,1.0,0,5.629861354827881,25.41568946838379,-0.0014912873739376664,0,1048576,0.007343292236328125,0.3811550438404083,non-uniform codebook,0.03205721825361252,1.0,0,3.0926384925842285,6.890263080596924,-0.003676772816106677,0,1048576,0.0033245086669921875,0.38114064931869507,block_hadamard_last_dim,hadamard,11,,,block_rms,ffn_input,14.940740585327148
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.9893877506256104,E2M1,17,,mxfp4,32,1.0,0,211.57022094726562,140.95896911621094,-4.11213404731825e-05,0,2883584,0.013187061995267868,0.08761795610189438,mxfp4_e2m1_fake_quant,0.023321956396102905,1.0,0,9.510482788085938,21.691226959228516,6.506372301373631e-05,0,2883584,0.011054298840463161,0.08761792629957199,none,none,,90112,E8M0_like_power2,group_power2,ffn_intermediate,16.322349548339844
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.9945856928825378,E2M1,17,,rot_mxfp4,32,1.0,0,211.57022094726562,140.95896911621094,-4.11213404731825e-05,0,2883584,0.013187061995267868,0.08761795610189438,mxfp4_e2m1_fake_quant,0.01243630237877369,1.0,0,9.510482788085938,21.691226959228516,6.506372301373631e-05,0,2883584,0.011054298840463161,0.08761792629957199,block_hadamard_last_dim,hadamard,11,90112,E8M0_like_power2,group_power2,ffn_intermediate,19.05308723449707
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9966201782226562,,17,16,rot_lm,,1.0,0,211.57022094726562,140.95896911621094,-4.11213404731825e-05,0,2883584,0.013187061995267868,0.08761795610189438,non-uniform codebook,0.00831459928303957,1.0,0,9.510482788085938,21.691226959228516,6.506372301373631e-05,0,2883584,0.011054298840463161,0.08761792629957199,block_hadamard_last_dim,hadamard,11,,,block_rms,ffn_intermediate,20.801586151123047
3,3,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9849381446838379,,17,8,rot_lm,,1.0,0,211.57022094726562,140.95896911621094,-4.11213404731825e-05,0,2883584,0.013187061995267868,0.08761795610189438,non-uniform codebook,0.03147471323609352,1.0,0,9.510482788085938,21.691226959228516,6.506372301373631e-05,0,2883584,0.011054298840463161,0.08761792629957199,block_hadamard_last_dim,hadamard,11,,,block_rms,ffn_intermediate,15.020381927490234
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.9868115782737732,E2M1,18,,mxfp4,32,1.0,0,49.066524505615234,38.67413330078125,0.0025664332788437605,0,1048576,0.01122283935546875,0.5183024406433105,mxfp4_e2m1_fake_quant,0.026605144143104553,1.0,0,4.621170520782471,11.62392807006836,-0.001274970592930913,0,1048576,0.009970664978027344,0.5183072090148926,none,none,,32768,E8M0_like_power2,group_power2,attn_input,15.750343322753906
