a_bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_method,kv_rotation_backend,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,linear_rotation_backend,method,method_key,output_cosine,output_relative_mse,pre_o_output_cosine,pre_o_output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_path,value_relative_mse,w_bits
4,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,1.267602562904358,0.0034187703859061003,4.308889865875244,4,0.0015870011411607265,0.010357844643294811,K4V4,hadamard_lm,hadamard,model.layers.3.self_attn,3,0.9650435447692871,0.0810236781835556,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,0.9503768086433411,0.1162654384970665,0.9503750801086426,0.11626426130533218,0.9953771233558655,0.009315880558763942,0.0020272156689316034,0.092432901263237,0.0034187703859061003,0.006985933054238558,0.896044909954071,4,0.024333424866199493,o_proj_absorb,0.03293569013476372,4
4,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,3.4262514114379883,0.014881448820233345,14.011072158813477,3,0.0039830817840993404,0.03581725060939789,K3V4,hadamard_lm,hadamard,model.layers.3.self_attn,3,0.8940089344978333,0.2524663209915161,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,0.8555326461791992,0.41151583194732666,0.8555310964584351,0.4115142524242401,0.989006777604421,0.022355598552773397,0.0054026152938604355,0.40234801173210144,0.014881448820233345,0.028777092695236206,0.8213866949081421,4,0.05768109858036041,o_proj_absorb,0.06626901030540466,3
4,randomized Hadamard LM W4A4 plus randomized HLM K4V4,1.1009271144866943,0.003138795029371977,4.2192063331604,4,0.0015546490903943777,0.010339178144931793,K4V4,hadamard_lm,randomized_hadamard,model.layers.3.self_attn,3,0.9613707065582275,0.08373690396547318,W4A4,randhadamard_lm,randomized_hadamard,attn_randhadamard_lm_w4a4_hlm_k4v4,attn_randhadamard_lm_w4a4_hlm_k4v4,0.9451786875724792,0.1270935833454132,0.9451769590377808,0.12709243595600128,0.9953176776568095,0.009440119999150435,0.0020212822128087282,0.08486323803663254,0.003138795029371977,0.006232440005987883,0.9000488519668579,4,0.0247444286942482,o_proj_absorb,0.03373883292078972,4
4,randomized Hadamard LM W3A4 plus randomized HLM K3V4,3.547234296798706,0.015345072373747826,13.969640731811523,3,0.004570034798234701,0.03554690256714821,K3V4,hadamard_lm,randomized_hadamard,model.layers.3.self_attn,3,0.8988758325576782,0.27989640831947327,W3A4,randhadamard_lm,randomized_hadamard,attn_randhadamard_lm_w3a4_hlm_k3v4,attn_randhadamard_lm_w3a4_hlm_k3v4,0.8564537763595581,0.4549359381198883,0.8564519286155701,0.454934298992157,0.988469401995341,0.023550857789814472,0.00549377640709281,0.41488295793533325,0.015345072373747826,0.029816044494509697,0.829052746295929,4,0.060588762164115906,o_proj_absorb,0.06935375928878784,3
4,dense random orthogonal LM W4A4 plus random-orthogonal K4V4,1.4467742443084717,0.003678669687360525,4.272268772125244,4,0.0016901899361982942,0.010575669817626476,K4V4,hadamard_lm,random_orthogonal,model.layers.3.self_attn,3,0.9626173377037048,0.08479783684015274,W4A4,randortho_lm,random_orthogonal,attn_randortho_lm_w4a4_hlm_k4v4,attn_randortho_lm_w4a4_hlm_k4v4,0.9453935027122498,0.1315615177154541,0.9453907012939453,0.1315627247095108,0.9952247341473898,0.009641195453392962,0.002170613734051585,0.09945976734161377,0.003678669687360525,0.007014448754489422,0.900805652141571,4,0.02506278268992901,o_proj_absorb,0.03445003554224968,4
4,dense random orthogonal LM W3A4 plus random-orthogonal K3V4,3.8246958255767822,0.016739806160330772,14.337601661682129,3,0.004807563964277506,0.036895010620355606,K3V4,hadamard_lm,random_orthogonal,model.layers.3.self_attn,3,0.8983203172683716,0.2320125252008438,W3A4,randortho_lm,random_orthogonal,attn_randortho_lm_w3a4_hlm_k3v4,attn_randortho_lm_w3a4_hlm_k3v4,0.851283848285675,0.38758233189582825,0.851281464099884,0.3875825107097626,0.9884452223777771,0.023747817768404882,0.005792071111500263,0.4525921940803528,0.016739806160330772,0.029548265039920807,0.8326660394668579,4,0.060643818229436874,o_proj_absorb,0.06973382085561752,3
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,,model.layers.4.self_attn,4,1.0,0.0,FP16,fp16,,fp16,fp16,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
16,KV-only HLM K4V4 with value rotation absorbed into o_proj,0.1887732744216919,0.002023960929363966,4.374323844909668,4,4.1584566901065045e-08,0.008769406005740166,K4V4,hadamard_lm,hadamard,model.layers.4.self_attn,4,0.9874309301376343,0.02505173534154892,FP16,fp16,none,attn_kv_hlm_k4v4,attn_kv_hlm_k4v4,0.9844269156455994,0.0311127882450819,0.9844238758087158,0.031112859025597572,1.0000040729840596,4.218907179165399e-08,4.115113938496506e-08,0.06890560686588287,0.002023960929363966,0.003688895609229803,0.9128662347793579,4,4.383150908893185e-08,o_proj_absorb,0.009233838878571987,16
4,MXFP4 W4A4 linear fake quant plus HLM K4V4,2.3013968467712402,0.007191197946667671,10.372298240661621,4,0.006746171973645687,0.015391341410577297,K4V4,hadamard_lm,hadamard,model.layers.4.self_attn,4,0.9447730779647827,0.13120026886463165,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,0.942733645439148,0.14454568922519684,0.9427312016487122,0.14454667270183563,0.9905817707379659,0.019044033251702785,0.007188012823462486,0.24482382833957672,0.007191197946667671,0.011921504512429237,0.881591796875,4,0.04319791495800018,o_proj_absorb,0.05226319655776024,4
4,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,1.0978032350540161,0.00343314534984529,6.275223731994629,4,0.00248476630076766,0.011205784045159817,K4V4,hadamard_lm,hadamard,model.layers.4.self_attn,4,0.95900958776474,0.08120973408222198,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,0.9512103796005249,0.09998559206724167,0.9512074589729309,0.09998606145381927,0.995344897111257,0.009377166318396727,0.002890035044401884,0.11688119173049927,0.00343314534984529,0.0050383685156702995,0.900805652141571,4,0.022756697610020638,o_proj_absorb,0.0317809171974659,4
4,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,3.2068910598754883,0.013003558851778507,18.048988342285156,3,0.006722611840814352,0.036923475563526154,K3V4,hadamard_lm,hadamard,model.layers.4.self_attn,4,0.8896063566207886,0.23692584037780762,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,0.8821349740028381,0.28411585092544556,0.8821329474449158,0.2841165363788605,0.9887709816296896,0.02284606033936143,0.007381262257695198,0.4427052438259125,0.013003558851778507,0.022510787472128868,0.837451159954071,4,0.05443430691957474,o_proj_absorb,0.06291871517896652,3
4,randomized Hadamard LM W4A4 plus randomized HLM K4V4,1.3189671039581299,0.003437567735090852,5.7503581047058105,4,0.002556482097133994,0.011213159188628197,K4V4,hadamard_lm,randomized_hadamard,model.layers.4.self_attn,4,0.9616768956184387,0.08081256598234177,W4A4,randhadamard_lm,randomized_hadamard,attn_randhadamard_lm_w4a4_hlm_k4v4,attn_randhadamard_lm_w4a4_hlm_k4v4,0.9540799260139465,0.10263325273990631,0.954076886177063,0.10263436287641525,0.9953283270200094,0.00941801800703009,0.0028927286621183157,0.1170317530632019,0.003437567735090852,0.005841624457389116,0.903271496295929,4,0.02280484326183796,o_proj_absorb,0.03212093934416771,4
