a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
3,non-uniform codebook,block_rms,W4A3,128,randomized Hadamard + non-uniform codebook fake quant,0.8387371301651001,model.layers.0.self_attn.v_proj,randhadamard_lm,randhadamard_lm_w4a3,,0.43609243631362915,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,3.6042144298553467,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W4A4,128,dense random orthogonal + non-uniform codebook fake quant,0.9089892506599426,model.layers.0.self_attn.v_proj,randortho_lm,randortho_lm_w4a4,,0.2055027037858963,block_random_orthogonal_last_dim,random_orthogonal,11,linear,6.871824741363525,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,dense random orthogonal + non-uniform codebook fake quant,0.8107059597969055,model.layers.0.self_attn.v_proj,randortho_lm,randortho_lm_w3a4,,0.48712435364723206,block_random_orthogonal_last_dim,random_orthogonal,11,linear,3.1236014366149902,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,dense random orthogonal + non-uniform codebook fake quant,0.8121976852416992,model.layers.0.self_attn.v_proj,randortho_lm,randortho_lm_w4a3,,0.4785584509372711,block_random_orthogonal_last_dim,random_orthogonal,11,linear,3.200650215148926,4,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9980835914611816,model.layers.0.self_attn.o_proj,direct_absmax,direct_absmax_w4a4,,0.003922765608876944,none,none,,linear,24.064075469970703,4,uniform integer-like,last_dim_block_absmax
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9974169731140137,model.layers.0.self_attn.o_proj,mxfp4,mxfp4_w4a4,32,0.005656827241182327,none,none,,linear,22.47426986694336,4,mxfp4_e2m1_fake_quant,group_power2
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9988561868667603,model.layers.0.self_attn.o_proj,rot_absmax,rot_absmax_w4a4,,0.0023721063043922186,block_hadamard_last_dim,hadamard,11,linear,26.2486572265625,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9990445375442505,model.layers.0.self_attn.o_proj,rot_lm,rot_lm_w4a4,,0.0028340567369014025,block_hadamard_last_dim,hadamard,11,linear,25.475914001464844,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9980457425117493,model.layers.0.self_attn.o_proj,rot_lm,rot_lm_w3a4,,0.006876417901366949,block_hadamard_last_dim,hadamard,11,linear,21.62637710571289,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9973393678665161,model.layers.0.self_attn.o_proj,rot_lm,rot_lm_w4a3,,0.009064020588994026,block_hadamard_last_dim,hadamard,11,linear,20.426790237426758,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9963498115539551,model.layers.0.self_attn.o_proj,rot_lm,rot_lm_w3a3,,0.014397643506526947,block_hadamard_last_dim,hadamard,11,linear,18.417085647583008,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W4A4,128,randomized Hadamard + non-uniform codebook fake quant,0.9993312358856201,model.layers.0.self_attn.o_proj,randhadamard_lm,randhadamard_lm_w4a4,,0.0014484168495982885,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,28.39106559753418,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,randomized Hadamard + non-uniform codebook fake quant,0.9984017014503479,model.layers.0.self_attn.o_proj,randhadamard_lm,randhadamard_lm_w3a4,,0.004014725796878338,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,23.963441848754883,3,non-uniform codebook,block_rms
