a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,down_activation_quantizer_type,down_weight_quantizer_type,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9817776083946228,non-uniform codebook,non-uniform codebook,model.layers.8.mlp,rot_lm,ffn_rot_lm_w4a4,,0.0361679308116436,block_hadamard_last_dim,hadamard,11,ffn,14.416763305664062,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9579530358314514,non-uniform codebook,non-uniform codebook,model.layers.8.mlp,rot_lm,ffn_rot_lm_w3a4,,0.08303516358137131,block_hadamard_last_dim,hadamard,11,ffn,10.807379722595215,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999967813491821,,,model.layers.9.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,91.98086547851562,16,,
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9671403765678406,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.9.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.06476109474897385,none,none,,ffn,11.886857986450195,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9724292159080505,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.9.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.05438077822327614,block_hadamard_last_dim,hadamard,11,ffn,12.64554500579834,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9810757040977478,non-uniform codebook,non-uniform codebook,model.layers.9.mlp,rot_lm,ffn_rot_lm_w4a4,,0.03755902498960495,block_hadamard_last_dim,hadamard,11,ffn,14.252857208251953,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.956152081489563,non-uniform codebook,non-uniform codebook,model.layers.9.mlp,rot_lm,ffn_rot_lm_w3a4,,0.0865720808506012,block_hadamard_last_dim,hadamard,11,ffn,10.626220703125,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,1.0000011920928955,,,model.layers.10.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,92.15386962890625,16,,
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9656671285629272,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.10.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.06761574745178223,none,none,,ffn,11.699522018432617,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.970626175403595,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.10.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.05788861960172653,block_hadamard_last_dim,hadamard,11,ffn,12.374068260192871,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9801124930381775,non-uniform codebook,non-uniform codebook,model.layers.10.mlp,rot_lm,ffn_rot_lm_w4a4,,0.039402518421411514,block_hadamard_last_dim,hadamard,11,ffn,14.044760704040527,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.953985869884491,non-uniform codebook,non-uniform codebook,model.layers.10.mlp,rot_lm,ffn_rot_lm_w3a4,,0.09044630825519562,block_hadamard_last_dim,hadamard,11,ffn,10.436091423034668,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999997615814209,,,model.layers.11.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,92.95648193359375,16,,
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9647117257118225,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.11.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.06953532993793488,none,none,,ffn,11.5779447555542,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9703167676925659,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.11.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.05849619582295418,block_hadamard_last_dim,hadamard,11,ffn,12.328723907470703,4,mxfp4_e2m1_fake_quant,group_power2
