a_bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_method,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,method,method_key,output_cosine,output_relative_mse,pre_o_output_cosine,pre_o_output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_path,value_relative_mse,w_bits
16,KV-only HLM K4V4 with value rotation absorbed into o_proj,0.13148361444473267,0.006495258305221796,1.7403560876846313,4,4.233670125586286e-08,0.009290311485528946,K4V4,hadamard_lm,model.layers.2.self_attn,2,0.9906140565872192,0.018716225400567055,FP16,fp16,attn_kv_only_hlm_k4v4_oabsorb,attn_kv_only_hlm_k4v4_oabsorb,0.987838864326477,0.024299295619130135,0.987835705280304,0.024299796670675278,1.0000003576278687,4.310624746040048e-08,4.336669334747967e-08,0.027463188394904137,0.006495258305221796,0.007800105027854443,0.9369872808456421,4,4.3615347777858915e-08,o_proj_absorb,0.009321769699454308,16
16,KV-only HLM K3V4 with value rotation absorbed into o_proj,0.3003776967525482,0.024293750524520874,6.4837646484375,3,4.233670125586286e-08,0.03419531509280205,K3V4,hadamard_lm,model.layers.2.self_attn,2,0.9758028388023376,0.047827936708927155,FP16,fp16,attn_kv_only_hlm_k3v4_oabsorb,attn_kv_only_hlm_k3v4_oabsorb,0.9699559211730957,0.059931665658950806,0.9699525237083435,0.05993272736668587,1.0000003576278687,4.310624746040048e-08,4.336669334747967e-08,0.10271860659122467,0.024293750524520874,0.028885073959827423,0.8896484375,4,4.3615347777858915e-08,o_proj_absorb,0.009321769699454308,16
16,KV-only HLM K4V3 with value rotation absorbed into o_proj,0.13148361444473267,0.006495258305221796,1.7403560876846313,4,4.233670125586286e-08,0.009290311485528946,K4V3,hadamard_lm,model.layers.2.self_attn,2,0.9833943843841553,0.03296013921499252,FP16,fp16,attn_kv_only_hlm_k4v3_oabsorb,attn_kv_only_hlm_k4v3_oabsorb,0.975261390209198,0.04919696971774101,0.9752588868141174,0.04919637739658356,1.0000003576278687,4.310624746040048e-08,4.336669334747967e-08,0.027463188394904137,0.006495258305221796,0.007800105027854443,0.9369872808456421,3,4.3615347777858915e-08,o_proj_absorb,0.03328711539506912,16
4,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,0.29437947273254395,0.009877882897853851,2.5863373279571533,4,0.0013033893192186952,0.010557049885392189,K4V4,hadamard_lm,model.layers.2.self_attn,2,0.9383899569511414,0.12176217883825302,W4A4,rot_lm,attn_rot_lm_w4a4_hlm_k4v4_oabsorb,attn_rot_lm_w4a4_hlm_k4v4_oabsorb,0.7816293239593506,0.564850389957428,0.7816268801689148,0.5648524761199951,0.9817306399345398,0.03831980187290659,0.003087820718064904,0.041765570640563965,0.009877882897853851,0.010948712937533855,0.932055652141571,4,0.11056819558143616,o_proj_absorb,0.11941643059253693,4
4,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,0.8945591449737549,0.03399759903550148,8.399657249450684,3,0.003911172039806843,0.03782270476222038,K3V4,hadamard_lm,model.layers.2.self_attn,2,0.8046771287918091,0.3817242681980133,W3A4,rot_lm,attn_rot_lm_w3a4_hlm_k3v4_oabsorb,attn_rot_lm_w3a4_hlm_k3v4_oabsorb,0.5488412976264954,1.6882236003875732,0.5488404631614685,1.688226342201233,0.9592059850692749,0.0913283343737324,0.007843583822250366,0.14374832808971405,0.03399759903550148,0.035617645829916,0.8787841796875,4,0.26223024725914,o_proj_absorb,0.2699921131134033,3
3,rotated LM W4A3 plus HLM K4V3 with value rotation absorbed into o_proj,0.4450402855873108,0.014900913462042809,3.834188461303711,4,0.0029915031045675278,0.012309795245528221,K4V3,hadamard_lm,model.layers.2.self_attn,2,0.8864244222640991,0.222806915640831,W4A3,rot_lm,attn_rot_lm_w4a3_hlm_k4v3_oabsorb,attn_rot_lm_w4a3_hlm_k4v3_oabsorb,0.7222167253494263,0.7487746477127075,0.7222146987915039,0.7487767934799194,0.9621831576029459,0.08553362342839439,0.006832503248006105,0.06300389766693115,0.014900913462042809,0.01674584299325943,0.9168456792831421,3,0.24677686393260956,o_proj_absorb,0.2723512649536133,4
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,model.layers.3.self_attn,3,1.0,0.0,FP16,fp16,fp16,fp16,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
16,identity attention wrapper; no quantization,-0.0033919229172170162,5.365057020867425e-08,8.132969378493726e-05,16,4.2876070693864676e-08,1.3234851792276459e-07,K16V16,fp16,model.layers.3.self_attn,3,1.0000073909759521,6.6489354821897e-07,FP16,fp16,attn_identity_fp16,attn_identity_fp16,1.0000157356262207,7.29987903014262e-07,1.0000135898590088,7.750790587124357e-07,1.0000009735425313,4.297081801496461e-08,4.329424996285525e-08,1.450544232284301e-06,5.365057020867425e-08,1.0280324147515785e-07,0.999438464641571,16,4.27421333881739e-08,reconstruct,4.27421333881739e-08,16
16,KV-only HLM K4V4 with value reconstruction,0.26900938153266907,0.0020436416380107403,3.4638707637786865,4,4.2876070693864676e-08,0.008826741017401218,K4V4,hadamard_lm,model.layers.3.self_attn,3,0.9879382848739624,0.02643435448408127,FP16,fp16,attn_kv_only_hlm_k4v4_reconstruct,attn_kv_only_hlm_k4v4_reconstruct,0.9829403162002563,0.03592412918806076,0.982938289642334,0.035923901945352554,1.0000009735425313,4.297081801496461e-08,4.329424996285525e-08,0.05525369942188263,0.0020436416380107403,0.004065824672579765,0.9112548828125,4,4.27421333881739e-08,reconstruct,0.00888265110552311,16
16,KV-only HLM K4V4 with value rotation absorbed into o_proj,0.26900938153266907,0.0020436416380107403,3.4638707637786865,4,4.2876070693864676e-08,0.008826741017401218,K4V4,hadamard_lm,model.layers.3.self_attn,3,0.9879389405250549,0.026436813175678253,FP16,fp16,attn_kv_only_hlm_k4v4_oabsorb,attn_kv_only_hlm_k4v4_oabsorb,0.9829403162002563,0.03592412918806076,0.982938289642334,0.035923901945352554,1.0000009735425313,4.297081801496461e-08,4.329424996285525e-08,0.05525369942188263,0.0020436416380107403,0.004065824672579765,0.9112548828125,4,4.27421333881739e-08,o_proj_absorb,0.00888265110552311,16
