layer_index,method_key,projection_relative_mse,score_relative_mse,softmax_kl,topk_overlap,pre_o_output_relative_mse,pre_o_output_cosine,layer_output_relative_mse,layer_output_cosine
4,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
5,attn_identity_fp16,4.1403097839065595e-08,6.978114441835714e-08,1.3029087142513163e-07,0.999584972858429,1.2006104270767537e-06,1.0000340938568115,1.1475651717773871e-06,1.000005841255188
5,attn_kv_only_hlm_k3v4_oabsorb,4.1403097839065595e-08,0.008896649815142155,0.017611514776945114,0.83984375,0.13866539299488068,0.9358076453208923,0.1149844229221344,0.9474309682846069
5,attn_kv_only_hlm_k4v3_oabsorb,4.1403097839065595e-08,0.002274640602990985,0.0051045771688222885,0.907397449016571,0.061766646802425385,0.9711537957191467,0.04664945602416992,0.9776610732078552
5,attn_kv_only_hlm_k4v4_oabsorb,4.1403097839065595e-08,0.002274640602990985,0.0051045771688222885,0.907397449016571,0.046133819967508316,0.9795343279838562,0.03845782205462456,0.9827463626861572
5,attn_kv_only_hlm_k4v4_reconstruct,4.1403097839065595e-08,0.002274640602990985,0.0051045771688222885,0.907397449016571,0.046133819967508316,0.9795343279838562,0.03845386207103729,0.9827466607093811
5,attn_rot_lm_w3a4_hlm_k3v4_oabsorb,0.02189326984807849,0.015100701712071896,0.026888618245720863,0.8301025629043579,0.33936455845832825,0.8707199692726135,0.2646465301513672,0.885486364364624
5,attn_rot_lm_w4a3_hlm_k4v3_oabsorb,0.02062737786521514,0.005971204023808241,0.011880438774824142,0.8926757574081421,0.23128382861614227,0.9045358300209045,0.1727115958929062,0.9218757152557373
5,attn_rot_lm_w4a4_hlm_k4v4_oabsorb,0.008931280967469016,0.003351818071678281,0.006448269356042147,0.9002685546875,0.11602859199047089,0.9473916888237,0.08430759608745575,0.9587382078170776
5,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
6,attn_identity_fp16,4.0988116012385944e-08,8.372759907615546e-08,2.594505019715143e-07,0.999707043170929,1.956460664587212e-06,1.0000216960906982,1.821728574213921e-06,1.0000007152557373
6,attn_kv_only_hlm_k3v4_oabsorb,4.0988116012385944e-08,0.00941607728600502,0.028904596343636513,0.8354736566543579,0.1473885029554367,0.933882474899292,0.11808611452579498,0.9447669386863708
6,attn_kv_only_hlm_k4v3_oabsorb,4.0988116012385944e-08,0.002642606385052204,0.008258618414402008,0.9048827886581421,0.058804403990507126,0.9706920981407166,0.04538082703948021,0.977288007736206
6,attn_kv_only_hlm_k4v4_oabsorb,4.0988116012385944e-08,0.002642606385052204,0.008258618414402008,0.9048827886581421,0.04107271507382393,0.9799626469612122,0.03356015309691429,0.983542799949646
6,attn_kv_only_hlm_k4v4_reconstruct,4.0988116012385944e-08,0.002642606385052204,0.008258618414402008,0.9048827886581421,0.04107271879911423,0.9799626469612122,0.033558908849954605,0.9835431575775146
6,attn_rot_lm_w3a4_hlm_k3v4_oabsorb,0.02370757268120845,0.01603974960744381,0.03952382877469063,0.8278564214706421,0.31082355976104736,0.8687681555747986,0.2642395496368408,0.8777841925621033
6,attn_rot_lm_w4a3_hlm_k4v3_oabsorb,0.02336771662036578,0.007750603370368481,0.01844004914164543,0.88916015625,0.17566163837909698,0.9223542213439941,0.1574321836233139,0.9249218702316284
6,attn_rot_lm_w4a4_hlm_k4v4_oabsorb,0.010367578555208942,0.004533109255135059,0.011810756288468838,0.9005126953125,0.10832149535417557,0.9521424174308777,0.09169789403676987,0.9567903280258179
6,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
7,attn_identity_fp16,4.1470735586320494e-08,1.1041662872912639e-07,1.9854829247378802e-07,0.9994872808456421,6.069185474188998e-07,1.0000181198120117,7.060260145408392e-07,1.0000032186508179
7,attn_kv_only_hlm_k3v4_oabsorb,4.1470735586320494e-08,0.015836672857403755,0.03499910235404968,0.81689453125,0.10826258361339569,0.9622417688369751,0.11920648068189621,0.9591343402862549
7,attn_kv_only_hlm_k4v3_oabsorb,4.1470735586320494e-08,0.004065569490194321,0.008696697652339935,0.8942626714706421,0.03780464828014374,0.9811319708824158,0.03597221523523331,0.9821306467056274
7,attn_kv_only_hlm_k4v4_oabsorb,4.1470735586320494e-08,0.004065569490194321,0.008696697652339935,0.8942626714706421,0.023741217330098152,0.9884366393089294,0.024675624445080757,0.9880772233009338
7,attn_kv_only_hlm_k4v4_reconstruct,4.1470735586320494e-08,0.004065569490194321,0.008696697652339935,0.8942626714706421,0.0237412191927433,0.9884366393089294,0.024676701053977013,0.9880774021148682
7,attn_rot_lm_w3a4_hlm_k3v4_oabsorb,0.027340687811374664,0.02330349013209343,0.043088361620903015,0.801586925983429,0.254874587059021,0.8879829049110413,0.24591615796089172,0.8854218125343323
7,attn_rot_lm_w4a3_hlm_k4v3_oabsorb,0.02579325856640935,0.01029477920383215,0.015528513118624687,0.8680175542831421,0.13972355425357819,0.9276452660560608,0.15635724365711212,0.9185445308685303
7,attn_rot_lm_w4a4_hlm_k4v4_oabsorb,0.011429680821796259,0.006203120108693838,0.011386232450604439,0.8818603754043579,0.0830565094947815,0.958550214767456,0.08200576156377792,0.9586309790611267
7,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
8,attn_identity_fp16,4.081775391758432e-08,9.249563248658887e-08,3.439876650190854e-07,0.99951171875,2.0713569028885104e-06,1.0000550746917725,1.9217568478779867e-06,1.0000042915344238
8,attn_kv_only_hlm_k3v4_oabsorb,4.081775391758432e-08,0.007002474740147591,0.028839802369475365,0.8608642816543579,0.1352129876613617,0.9475496411323547,0.12582555413246155,0.9452563524246216
8,attn_kv_only_hlm_k4v3_oabsorb,4.081775391758432e-08,0.0017711948603391647,0.008148127235472202,0.9187988042831421,0.06233564391732216,0.9708197712898254,0.05248125642538071,0.9745805263519287
